Fecha,temp
2021-03-08,294.34192
2021-03-09,296.83206
2021-03-10,297.90186
2021-03-11,298.7668
2021-03-12,299.74524
2021-03-13,299.26566
2021-03-14,301.3872
2021-03-15,301.07263
2021-03-16,302.36038
2021-03-17,302.36807
2021-03-18,297.93915
2021-03-19,296.03027
2021-03-20,295.1176
2021-03-21,295.86774
2021-03-22,298.58475
2021-03-23,301.75955
2021-03-24,303.30994
2021-03-25,301.11237
2021-03-26,299.78723
2021-03-27,300.86874
2021-03-28,297.8098
2021-03-29,295.58133
2021-03-30,298.95828
2021-03-31,301.2614
2021-04-01,293.34088
2021-04-02,292.65506
2021-04-03,295.77423
2021-04-04,296.6481
2021-04-05,298.31332
2021-04-06,299.82794
2021-04-07,302.60544
2021-04-08,303.29105
2021-04-09,305.15482
2021-04-10,306.01578
2021-04-11,303.17484
2021-04-12,302.74536
2021-04-13,303.5794
2021-04-14,303.48135
2021-04-15,303.26843
2021-04-16,305.1749
2021-04-17,297.68198
2021-04-18,292.5209
2021-04-19,295.84488
2021-04-20,299.26715
2021-04-21,298.7346
2021-04-22,299.7811
2021-04-23,303.35663
2021-04-24,303.8876
2021-04-25,302.84976
2021-04-26,302.6795
2021-04-27,303.55334
2021-04-28,304.6707
2021-04-29,304.44885
2021-04-30,302.37363
2021-05-01,299.70795
2021-05-02,304.2281
2021-05-03,297.09607
2021-05-04,306.69357
2021-05-05,303.48138
2021-05-06,302.96945
2021-05-07,301.5954
2021-05-08,302.27957
2021-05-09,303.59827
2021-05-10,303.70505
2021-05-11,302.5022
2021-05-12,298.35428
2021-05-13,298.67758
2021-05-14,299.86707
2021-05-15,301.2256
2021-05-16,302.25006
2021-05-17,303.94885
2021-05-18,304.21027
2021-05-19,303.52707
2021-05-20,302.1696
2021-05-21,303.24966
2021-05-22,301.87155
2021-05-23,302.05453
2021-05-24,302.74762
2021-05-25,303.00278
2021-05-26,303.28482
2021-05-27,304.11743
2021-05-28,304.09277
2021-05-29,301.94128
2021-05-30,300.495
2021-05-31,301.86865
2021-06-01,300.6802
2021-06-02,299.42987
2021-06-03,298.03375
2021-06-04,299.94504
2021-06-05,302.6323
2021-06-06,303.9908
2021-06-07,304.27548
2021-06-08,304.40143
2021-06-09,303.69763
2021-06-10,301.56937
2021-06-11,301.8025
2021-06-12,300.99554
2021-06-13,299.36227
2021-06-14,301.80206
2021-06-15,302.80853
2021-06-16,301.91913
2021-06-17,300.38895
2021-06-18,301.1789
2021-06-19,301.61823
2021-06-20,304.33643
2021-06-21,305.53885
2021-06-22,300.89456
2021-06-23,302.04947
2021-06-24,302.10727
2021-06-25,301.7423
2021-06-26,301.71765
2021-06-27,300.439
2021-06-28,299.29922
2021-06-29,299.66638
2021-06-30,298.63522
2021-07-01,300.28104
2021-07-02,301.35828
2021-07-03,301.45108
2021-07-04,302.36475
2021-07-05,301.7962
2021-07-06,300.0082
2021-07-07,298.17133
2021-07-08,300.42957
2021-07-09,298.41333
2021-07-10,300.04257
2021-07-11,300.89697
2021-07-12,300.96512
2021-07-13,299.2829
2021-07-14,300.49826
2021-07-15,300.74573
2021-07-16,300.9671
2021-07-17,301.74936
2021-07-18,301.7906
2021-07-19,302.12946
2021-07-20,302.5611
2021-07-21,301.7141
2021-07-22,300.7434
2021-07-23,301.6597
2021-07-24,302.68054
2021-07-25,302.44196
2021-07-26,302.7705
2021-07-27,302.89282
2021-07-28,301.58585
2021-07-29,301.05853
2021-07-30,301.37677
2021-07-31,301.94104
2021-08-01,302.91296
2021-08-02,302.78778
2021-08-03,301.81708
2021-08-04,301.665
2021-08-05,302.63287
2021-08-06,302.04773
2021-08-07,302.46765
2021-08-08,301.9547
2021-08-09,301.83984
2021-08-10,301.91464
2021-08-11,302.1696
2021-08-12,301.63602
2021-08-13,302.0717
2021-08-14,303.1
2021-08-15,302.80362
2021-08-16,303.02133
2021-08-17,303.1849
2021-08-18,303.0741
2021-08-19,303.33307
2021-08-20,301.20117
2021-08-21,298.6348
2021-08-22,298.8849
2021-08-23,301.21246
2021-08-24,301.3079
2021-08-25,300.97913
2021-08-26,300.8477
2021-08-27,300.7973
2021-08-28,301.15942
2021-08-29,300.46088
2021-08-30,301.24982
2021-08-31,301.8608
2021-09-01,301.7795
2021-09-02,300.8114
2021-09-03,301.12338
2021-09-04,300.87708
2021-09-05,301.75476
2021-09-06,301.8749
2021-09-07,302.24728
2021-09-08,301.7845
2021-09-09,302.17892
2021-09-10,302.1223
2021-09-11,299.76215
2021-09-12,301.01248
2021-09-13,301.50238
2021-09-14,303.02966
2021-09-15,302.3956
2021-09-16,301.15054
2021-09-17,300.71863
2021-09-18,301.6829
2021-09-19,302.2217
2021-09-20,302.6188
2021-09-21,302.33127
2021-09-22,298.67587
2021-09-23,299.4828
2021-09-24,299.56024
2021-09-25,300.90195
2021-09-26,301.26953
2021-09-27,301.87286
2021-09-28,301.6472
2021-09-29,301.41528
2021-09-30,300.3558
2021-10-01,299.47427
2021-10-02,298.62363
2021-10-03,299.18307
2021-10-04,299.66266
2021-10-05,299.24512
2021-10-06,299.6912
2021-10-07,300.1192
2021-10-08,300.13474
2021-10-09,300.90045
2021-10-10,301.22537
2021-10-11,302.18958
2021-10-12,302.40875
2021-10-13,302.38306
2021-10-14,302.66815
2021-10-15,301.8588
2021-10-16,296.59073
2021-10-17,296.4015
2021-10-18,297.0873
2021-10-19,298.37888
2021-10-20,299.97214
2021-10-21,300.46347
2021-10-22,299.4891
2021-10-23,300.12073
2021-10-24,300.51785
2021-10-25,300.277
2021-10-26,301.86765
2021-10-27,303.22372
2021-10-28,299.19855
2021-10-29,297.34772
2021-10-30,297.6803
2021-10-31,297.79007
2021-11-01,298.52747
2021-11-02,298.2723
2021-11-03,297.96964
2021-11-04,294.21255
2021-11-05,294.36844
2021-11-06,295.28253
2021-11-07,296.12445
2021-11-08,296.91077
2021-11-09,297.14432
2021-11-10,297.5119
2021-11-11,298.2982
2021-11-12,298.9118
2021-11-13,295.6766
2021-11-14,296.51852
2021-11-15,296.47366
2021-11-16,295.75446
2021-11-17,295.88486
2021-11-18,294.79446
2021-11-19,293.77142
2021-11-20,296.59943
2021-11-21,298.23535
2021-11-22,295.78378
2021-11-23,295.79047
2021-11-24,296.948
2021-11-25,297.2305
2021-11-26,291.5348
2021-11-27,294.53812
2021-11-28,293.80377
2021-11-29,294.3323
2021-11-30,294.4484
2021-12-01,295.83826
2021-12-02,296.5008
2021-12-03,296.4636
2021-12-04,296.99213
2021-12-05,296.9796
2021-12-06,297.57
2021-12-07,296.59445
2021-12-08,297.15393
2021-12-09,299.28217
2021-12-10,298.2344
2021-12-11,296.47375
2021-12-12,293.27496
2021-12-13,296.1869
2021-12-14,297.4077
2021-12-15,297.6372
2021-12-16,297.2597
2021-12-17,297.68655
2021-12-18,297.62872
2021-12-19,290.92618
2021-12-20,290.6415
2021-12-21,291.7283
2021-12-22,293.36157
2021-12-23,294.139
2021-12-24,294.8855
2021-12-25,296.0404
2021-12-26,295.49792
2021-12-27,295.3075
2021-12-28,296.813
2021-12-29,298.5185
2021-12-30,298.23383
2021-12-31,297.26593
2022-01-01,300.0541
2022-01-02,292.87723
2022-01-03,287.6135
2022-01-04,289.82016
2022-01-05,292.77335
2022-01-06,295.41455
2022-01-07,294.67618
2022-01-08,297.55453
2022-01-09,298.0289
2022-01-10,291.4143
2022-01-11,290.6836
2022-01-12,292.91092
2022-01-13,293.5001
2022-01-14,293.9696
2022-01-15,292.4538
2022-01-16,288.33057
2022-01-17,289.71378
2022-01-18,293.01492
2022-01-19,294.64417
2022-01-20,290.64465
2022-01-21,283.4589
2022-01-22,285.8114
2022-01-23,288.50415
2022-01-24,292.8365
2022-01-25,293.97217
2022-01-26,292.56717
2022-01-27,292.69232
2022-01-28,289.30124
2022-01-29,287.68375
2022-01-30,291.383
2022-01-31,294.24075
2022-02-01,295.01556
2022-02-02,297.4671
2022-02-03,292.1904
2022-02-04,283.82907
2022-02-05,284.62048
2022-02-06,287.96286
2022-02-07,288.11633
2022-02-08,287.5094
2022-02-09,289.53815
2022-02-10,291.69067
2022-02-11,293.13715
2022-02-12,294.7019
2022-02-13,288.6787
2022-02-14,287.8655
2022-02-15,291.49258
2022-02-16,294.80142
2022-02-17,298.9544
2022-02-18,294.32733
2022-02-19,291.1384
2022-02-20,295.43716
2022-02-21,296.91943
2022-02-22,298.51654
2022-02-23,299.16354
2022-02-24,296.91443
2022-02-25,293.80798
2022-02-26,293.33246
2022-02-27,291.2572
2022-02-28,291.43127
2022-03-01,292.15192
2022-03-02,294.84064
2022-03-03,296.54086
2022-03-04,296.83868
2022-03-05,298.2344
2022-03-06,299.35718
2022-03-07,297.66345
2022-03-08,295.7546
2022-03-09,294.58414
2022-03-10,297.51
2022-03-11,299.13803
2022-03-12,289.21704
2022-03-13,290.1914
2022-03-14,295.82925
2022-03-15,297.92758
2022-03-16,297.08084
2022-03-17,301.27505
2022-03-18,299.80554
2022-03-19,296.99957
2022-03-20,297.01495
2022-03-21,299.97177
2022-03-22,300.34805
2022-03-23,294.65482
2022-03-24,294.91626
2022-03-25,297.27643
2022-03-26,297.08557
2022-03-27,296.19757
2022-03-28,297.3355
2022-03-29,299.70596
2022-03-30,302.46423
2022-03-31,300.7974
2022-04-01,300.16718
2022-04-02,301.05902
2022-04-03,301.26004
2022-04-04,301.9586
2022-04-05,304.49002
2022-04-06,306.19025
2022-04-07,299.6666
2022-04-08,296.99063
2022-04-09,297.37985
2022-04-10,300.14844
2022-04-11,304.24722
2022-04-12,303.91055
2022-04-13,305.64172
2022-04-14,304.19287
2022-04-15,303.8562
2022-04-16,303.44257
2022-04-17,303.87927
2022-04-18,302.9872
2022-04-19,301.06256
2022-04-20,302.20596
2022-04-21,300.5288
2022-04-22,300.2761
2022-04-23,301.24274
2022-04-24,301.97995
2022-04-25,301.71545
2022-04-26,297.10092
2022-04-27,299.04718
2022-04-28,300.17477
2022-04-29,301.5513
2022-04-30,302.59015
2022-05-01,301.86307
2022-05-02,302.37198
2022-05-03,302.90152
2022-05-04,303.1051
2022-05-05,303.54324
2022-05-06,303.95935
2022-05-07,304.58575
2022-05-08,304.90906
2022-05-09,305.08316
2022-05-10,304.16904
