Fecha,et,dia,reconstruida_et,ajustados_et
2020-07-03,6.118942,185,6.481355798012763,5.84731330568357
2020-07-04,6.5610027,186,6.2713795677591655,5.839756198194993
2020-07-05,6.800129,187,6.041792251695829,5.831767520651804
2020-07-06,6.2023883,188,5.895338980515927,5.82334962378129
2020-07-07,5.9482255,189,5.895026190389507,5.814504984611692
2020-07-08,5.7217674,190,6.044756177433604,5.80523620574332
2020-07-09,6.05408,191,6.291035586557773,5.795546014582719
2020-07-10,6.1956587,192,6.544749410875475,5.785437262540108
2020-07-11,6.510619,193,6.715036943648836,5.774912924190334
2020-07-12,6.8520994,194,6.743117224737619,5.763976096397578
2020-07-13,6.8321323,195,6.623954737186948,5.752629997404085
2020-07-14,6.720905,196,6.407937182696526,5.740877965883168
2020-07-15,6.544737,197,6.181789954296826,5.728723459956778
2020-07-16,5.7671523,198,6.035337978065634,5.716170056177932
2020-07-17,6.191524,199,6.025873990055031,5.7032214484782795
2020-07-18,5.926074,200,6.152989471703156,5.68988144708114
2020-07-19,6.3726573,201,6.353345458432385,5.676153977380314
2020-07-20,6.0305624,202,6.5181225534596265,5.662043078785009
2020-07-21,6.0387383,203,6.528074379152173,5.647552903531214
2020-07-22,6.440288,204,6.294883402572,5.63268771545987
2020-07-23,6.1282077,205,5.795023408198125,5.617451888762204
2020-07-24,5.914395,206,5.084452761685417,5.601849906692598
2020-07-25,5.1898327,207,4.288523722293011,5.585886360249347
2020-07-26,3.0902932,208,3.5694953679416592,5.569565946823735
2020-07-27,1.8663881,209,3.08133313518551,5.552893468817781
2020-07-28,2.7270086,210,2.9256627041720393,5.53587383223111
2020-07-29,2.0135016,211,3.1224611760969463,5.518512045217316
2020-07-30,4.774774,212,3.604440309862073,5.5008132166102826
2020-07-31,5.176606,213,4.2366523174159525,5.482782554420864
2020-08-01,5.401667,214,4.855060297281614,5.464425364304397
2020-08-02,4.592343,215,5.31216005022015,5.445747047999468
2020-08-03,5.1906524,216,5.515959534243489,5.426753101738413
2020-08-04,4.9635744,217,5.4511552134079535,5.407449114630011
2020-08-05,5.095636,218,5.177226789323037,5.387840767014845
2020-08-06,5.4188337,219,4.805402867941765,5.367933828793825
2020-08-07,4.7981353,220,4.462687604958094,5.347734157730347
2020-08-08,4.556373,221,4.25447538966187,5.327247697726605
2020-08-09,3.61814,222,4.236843997299965,5.306480477074555
2020-08-10,3.4195905,223,4.405794632730178,5.285438606682044
2020-08-11,5.1400795,224,4.704948893014701,5.26412827827463
2020-08-12,5.408827,225,5.047487745140509,5.242555762573625
2020-08-13,5.6051235,226,5.344237221121948,5.22072740745088
2020-08-14,5.952754,227,5.528838715377884,5.198649636060889
2020-08-15,5.501591,228,5.572919104308287,5.176328944950719
2020-08-16,5.2427278,229,5.488161815177954,5.153771902148357
2020-08-17,5.188685,230,5.316664883429273,5.130985145230018
2020-08-18,4.731264,231,5.114428928754884,5.107975379366992
2020-08-19,4.2847676,232,4.934221010163649,5.084749375352592
2020-08-20,5.0493574,233,4.813189538734644,5.061313967609807
2020-08-21,5.4017963,234,4.76804746594649,5.037676052180212
2020-08-22,5.299741,235,4.79750793733324,5.013842584694768
2020-08-23,4.974473,236,4.889143031470785,4.989820578327066
2020-08-24,5.43299,237,5.026783109979087,4.965617101729657
2020-08-25,4.0828466,238,5.195195724515789,4.941239276954041
2020-08-26,5.2069464,239,5.380641929496975,4.916694277354964
2020-08-27,5.6260033,240,5.56813288065444,4.891989325479587
2020-08-28,5.753295,241,5.737857391021737,4.867131690942214
2020-08-29,6.0364575,242,5.8636715926139455,4.842128688285147
2020-08-30,5.768372,243,5.915611163654311,4.816987674826327
2020-08-31,5.6105347,244,5.866528434317661,4.791716048494399
2020-09-01,6.076451,245,5.700955047022783,4.766321245651797
2020-09-02,6.1226845,246,5.422973958511476,4.740810738906563
2020-09-03,5.7086406,247,5.059804044655263,4.7151920349134615
2020-09-04,4.797283,248,4.659025686433117,4.689472672165092
2020-09-05,1.8951819,249,4.27947525861349,4.663660218773639
2020-09-06,3.4133518,250,3.9780481601560873,4.637762270243896
2020-09-07,4.3124676,251,3.796168592934164,4.611786447238231
2020-09-08,5.02673,252,3.7499576838081063,4.585740393334145
2020-09-09,4.7518277,253,3.827056838379593,4.559631772775108
2020-09-10,2.9789298,254,3.991013906823398,4.533468268215285
2020-09-11,3.8898184,255,4.191820677290406,4.507257578458863
2020-09-12,4.748684,256,4.3793791666525435,4.48100741619462
2020-09-13,4.9166427,257,4.515947695695827,4.454725505726414
2020-09-14,4.301742,258,4.584160197368104,4.428419580700245
2020-09-15,4.0216722,259,4.588772417196541,4.40209738182857
2020-09-16,3.9709818,260,4.552291828067832,4.375766654612551
2020-09-17,4.4032464,261,4.506414557150366,4.349435147062874
2020-09-18,5.314923,262,4.482178984978385,4.3231106074198475
2020-09-19,5.168604,263,4.5017204299755065,4.296800781873417
2020-09-20,4.5252395,264,4.573606688355749,4.2705134122838
2020-09-21,4.582644,265,4.69236419983617,4.244256233903384
2020-09-22,4.710398,266,4.8414894648279425,4.21803697310057
2020-09-23,4.831905,267,4.998408759560129,4.191863345086228
2020-09-24,4.8765297,268,5.139693710576807,4.165743051643448
2020-09-25,5.0456905,269,5.24527546156289,4.1396837788612295
2020-09-26,5.0907784,270,5.301131142733152,4.113693194872787
2020-09-27,5.1160235,271,5.3005823551009295,4.087778947599157
2020-09-28,5.9420953,272,5.244675855910714,4.0619486624987315
2020-09-29,6.177038,273,5.142036556887001,4.036209940323415
2020-09-30,4.574551,274,5.00822743857622,4.010570354882044
2020-10-01,4.5989623,275,4.864287782104598,3.985037450811742
2020-10-02,4.210565,276,4.73401718305048,3.959618741357851
2020-10-03,4.663183,277,4.6398632660058095,3.934321706163107
2020-10-04,4.779011,278,4.5978868104647415,3.9091537890666928
2020-10-05,4.632529,279,4.6129639676957135,3.8841223959138436
2020-10-06,4.0965476,280,4.67580294571696,3.859234892376617
2020-10-07,5.0884495,281,4.763226958296823,3.8344986017864846
2020-10-08,5.2857604,282,4.842425511901904,3.8099208029793994
2020-10-09,4.76682,283,4.878674890755387,3.785508728153935
2020-10-10,5.0918355,284,4.844761601163458,3.761269560743163
2020-10-11,5.10488,285,4.729477749420032,3.737210433300869
2020-10-12,4.425075,286,4.542471403168401,3.7133384254027546
2020-10-13,3.2973588,287,4.313559791196285,3.6896605615632128
2020-10-14,3.7158604,288,4.086163947218195,3.6661838091683174
2020-10-15,4.465915,289,3.906339554658236,3.642915076425613
2020-10-16,3.7239792,290,3.810368661487349,3.61986121033133
2020-10-17,4.052164,291,3.8145185088293228,3.597028994655603
2020-10-18,4.4990473,292,3.910100987562563,3.574425147946294
2020-10-19,4.319067,293,4.0654745990010355,3.5520563215520133
2020-10-20,3.818755,294,4.234560654208351,3.529929097664911
2020-10-21,3.9952712,295,4.369446111094531,3.508049987383818
2020-10-22,4.222983,296,4.4333632827649145,3.4864254287983023
2020-10-23,4.333066,297,4.410198804182159,3.465061785094223
2020-10-24,4.001117,298,4.307751986976064,3.443965342681309
