Fecha,SRF,arima_predicts
2022-11-12,8418912.0,18567240.398994472
2022-11-13,9977575.0,9942441.913145494
2022-11-14,18669050.0,9743946.636954868
2022-11-15,9378758.0,17366282.77148576
2022-11-16,7419010.0,10771282.04924688
2022-11-17,3981482.8,7712757.087870163
2022-11-18,7469321.0,4496734.559141723
2022-11-19,11849864.0,6946528.113255219
2022-11-20,4612966.5,11193263.381175525
2022-11-21,5194153.0,5697706.765503454
2022-11-22,6248876.0,5107038.8190520145
2022-11-23,16557635.0,6090783.321880322
2022-11-24,16803418.0,15012452.692986377
2022-11-25,10128643.0,16766577.528419985
2022-11-26,8018657.0,11129126.591991711
2022-11-27,17552114.0,8334923.296966148
2022-11-28,15458671.0,16123141.891807813
2022-11-29,16930208.0,15772457.66281184
2022-11-30,14782843.0,16709638.973552112
2022-12-01,6364986.0,15104712.044052763
2022-12-02,16171067.0,7626740.562248548
2022-12-03,14221266.0,14701231.216435513
2022-12-04,13435339.0,14513522.1297046
2022-12-05,16442443.0,13553141.782566193
2022-12-06,15868791.0,15991707.475369936
2022-12-07,12214185.0,15954775.832973879
2022-12-08,15251290.0,12761974.751443975
2022-12-09,14895523.0,14796057.61843568
2022-12-10,15762942.0,14948848.999164334
2022-12-11,15642406.0,15632924.362419428
2022-12-12,16251635.0,15660473.169341935
2022-12-13,16221157.0,16160317.522142617
2022-12-14,16433194.0,16225725.354576256
2022-12-15,15714968.0,16401411.724283567
2022-12-16,14786732.0,15822623.063779954
2022-12-17,8296003.5,14925865.511990445
2022-12-18,5220964.0,9268900.318892464
2022-12-19,16383168.0,5681882.392676367
2022-12-20,15972438.0,14710062.62154691
2022-12-21,13390247.0,16034002.416139683
2022-12-22,16496370.0,13777292.215290202
2022-12-23,6196531.5,16030792.494210208
2022-12-24,5929642.0,7740376.711174084
2022-12-25,3602398.0,5969646.129820836
2022-12-26,15724841.0,3951229.1495984746
2022-12-27,15827224.0,13907805.17237214
2022-12-28,16800840.0,15811877.7880904
2022-12-29,16461565.0,16654904.4691543
2022-12-30,16063237.0,16512419.009412
2022-12-31,15531959.0,16122942.477447685
2023-01-01,16360361.0,15611592.384164436
2023-01-02,14892424.0,16236191.629710646
2023-01-03,17210608.0,15112453.421602605
2023-01-04,16834050.0,16863134.85592882
2023-01-05,16868218.0,16890492.367036074
2023-01-06,16177827.0,16863096.55045733
2023-01-07,16471205.0,16281309.869094279
2023-01-08,13871492.0,16427230.502694646
2023-01-09,12045841.0,14261163.59198438
2023-01-10,16181431.0,12319488.257054096
2023-01-11,16628317.0,15561546.443860656
2023-01-12,16295739.0,16561333.152530864
2023-01-13,17972948.0,16345589.19450954
2023-01-14,18006626.0,17721550.749180187
2023-01-15,17861116.0,18001577.996672384
2023-01-16,17980208.0,17882926.528065845
2023-01-17,17116786.0,17962357.272157118
2023-01-18,17324272.0,17246204.52631207
2023-01-19,15449312.0,17293171.874742147
2023-01-20,16676879.0,15730350.194641883
2023-01-21,17390352.0,16492878.694136433
2023-01-22,8038160.0,17283409.364506055
2023-01-23,4978407.0,9439962.254781043
2023-01-24,18113350.0,5437034.095602085
2023-01-25,15259957.0,16144550.309636451
2023-01-26,10748585.0,15687652.746748617
2023-01-27,6047197.5,11424795.608353212
2023-01-28,16995946.0,6751889.576263984
2023-01-29,18336946.0,15354835.516561408
2023-01-30,17033562.0,18135943.19513229
2023-01-31,14447230.0,17228926.53379545
2023-02-01,4500858.5,14834895.910752513
2023-02-02,9526001.0,5991722.459549791
2023-02-03,14278148.0,8772781.210768124
2023-02-04,19514044.0,13565847.570362652
2023-02-05,19575256.0,18729234.319168057
2023-02-06,19494864.0,19566080.91894738
2023-02-07,17774976.0,19506913.975756098
2023-02-08,14429426.0,18032770.41615087
2023-02-09,11375118.0,14930891.275037417
2023-02-10,5813829.5,11832928.943273596
2023-02-11,17786398.0,6647412.339059321
2023-02-12,20225490.0,15991826.896367775
2023-02-13,20070808.0,19859893.92741954
2023-02-14,20292104.0,20093993.321299437
2023-02-15,20265640.0,20258933.89059955
2023-02-16,20544006.0,20269606.695173766
2023-02-17,15617694.0,20502281.654899474
2023-02-18,20329044.0,16356100.062381407
2023-02-19,16709091.0,19622858.642271817
2023-02-20,19951636.0,17251686.605137426
2023-02-21,21222248.0,19465610.16859823
2023-02-22,19904758.0,21031795.66897944
2023-02-23,21099260.0,20102236.885447547
2023-02-24,20322762.0,20920215.814750116
2023-02-25,16927116.0,20439151.467542257
2023-02-26,20106330.0,17436090.17623999
2023-02-27,21456394.0,19629796.867058393
2023-02-28,21426472.0,21254032.590044055
2023-03-01,21813758.0,21430957.015605707
2023-03-02,22759256.0,21755707.610524982
2023-03-03,23089008.0,22617535.082776427
2023-03-04,22909392.0,23039581.395294007
2023-03-05,22353600.0,22936314.68441396
2023-03-06,22344646.0,22436907.79338034
2023-03-07,19175770.0,22345988.117162406
2023-03-08,20317658.0,19650753.56769424
2023-03-09,20660438.0,20146500.13956392
2023-03-10,21809390.0,20609058.62531502
2023-03-11,22819582.0,21637173.314945288
2023-03-12,22494990.0,22668164.08392623
2023-03-13,17208944.0,22543643.17109442
2023-03-14,6827039.5,18001270.676107194
2023-03-15,10744675.0,8383185.603183238
2023-03-16,22027600.0,10157459.69504152
2023-03-17,23611680.0,20336399.722511537
2023-03-18,19160404.0,23374241.876856938
2023-03-19,5438538.0,19827606.80480263
2023-03-20,10809665.0,7495311.716643468
2023-03-21,24409818.0,10004585.512825726
2023-03-22,20991322.0,22371287.87350483
2023-03-23,19464320.0,21503721.168105185
2023-03-24,24446790.0,19693202.688321106
2023-03-25,23788186.0,23699966.401812654
2023-03-26,24147998.0,23886904.30820067
2023-03-27,23499504.0,24094065.694835898
2023-03-28,16177530.0,23596706.917926833
2023-03-29,12649876.0,17275022.402064472
2023-03-30,17572492.0,13178636.886355562
2023-03-31,23828332.0,16834639.931926418
2023-04-01,18990354.0,22890642.67352451
2023-04-02,21363188.0,19715519.658380523
2023-04-03,24764336.0,21007523.354596965
2023-04-04,23596228.0,24254537.127688132
2023-04-05,22586846.0,23771315.982392553
2023-04-06,11409637.0,22738142.50498358
2023-04-07,7532538.5,13084991.481426274
2023-04-08,8657703.0,8113677.704510365
2023-04-09,8027135.0,8489051.82890561
2023-04-10,12325750.0,8121650.985577795
2023-04-11,15969687.0,11681429.588332275
2023-04-12,19802706.0,15423496.427471114
2023-04-13,23452088.0,19228173.882094532
2023-04-14,23503448.0,22905081.275142625
2023-04-15,23848966.0,23495749.63754064
2023-04-16,22937044.0,23797176.22585214
2023-04-17,14898498.0,23073732.202699907
2023-04-18,25696290.0,16103397.547396068
2023-04-19,20779298.0,24077806.421791095
2023-04-20,23715508.0,21516307.085393064
2023-04-21,23381632.0,23275398.793675896
2023-04-22,21717910.0,23431676.75203431
2023-04-23,23561614.0,21967285.681223057
2023-04-24,17451600.0,23285260.774537046
2023-04-25,26678576.0,18367431.433095444
2023-04-26,25191596.0,25295542.400859762
2023-04-27,24374478.0,25414479.781343915
2023-04-28,26206684.0,24496956.008879863
2023-04-29,25481218.0,25932054.212456785
2023-04-30,28004490.0,25589958.26907991
2023-05-01,28034174.0,27626276.16745402
2023-05-02,27218420.0,28029724.658270177
2023-05-03,20058384.0,27340693.558599595
2023-05-04,24660416.0,21131603.47722132
2023-05-05,25590228.0,23970616.342959758
2023-05-06,26678510.0,25450858.260999512
2023-05-07,25094986.0,26515387.155490648
2023-05-08,23474004.0,25332340.784172513
2023-05-09,23439546.0,23716973.372587677
2023-05-10,24604006.0,23444710.917710762
2023-05-11,24137214.0,24429464.817184
2023-05-12,20779638.0,24207181.56248308
2023-05-13,17225130.0,21282905.85500113
2023-05-14,16530848.0,17757916.038720895
2023-05-15,25789168.0,16634914.091997888
2023-05-16,23139434.0,24401436.241340168
2023-05-17,23996844.0,23536603.251419343
2023-05-18,24146530.0,23868326.61377955
