Fecha,srf,srf_arima
2021-12-17,15313913.0,15741151.9125497
2021-12-18,14398813.0,15403077.81816517
2021-12-19,6186634.5,14533352.97068776
2021-12-20,9858354.0,7394006.650226911
2021-12-21,16321692.0,9318529.900006913
2021-12-22,16421612.0,15371438.14242697
2021-12-23,16087602.0,16406921.546638487
2021-12-24,15701234.0,16136708.868767805
2021-12-25,16375178.0,15758038.654567465
2021-12-26,15193869.0,16276093.303239875
2021-12-27,16464460.0,15367547.59057282
2021-12-28,16383688.0,16277654.977711583
2021-12-29,16956930.0,16395563.273207728
2021-12-30,16556236.0,16872650.727923732
2021-12-31,16104920.0,16615146.893907508
2022-01-01,16608069.0,16171273.449252449
2022-01-02,16727474.0,16534094.951577341
2022-01-03,15441871.0,16709918.820019701
2022-01-04,17056376.0,15630883.118824277
2022-01-05,16938970.0,16819008.001556944
2022-01-06,16233804.0,16956231.28269978
2022-01-07,8576779.0,16337479.022369144
2022-01-08,16444720.0,9702531.288335089
2022-01-09,15033194.0,15287958.387593685
2022-01-10,8297266.5,15240719.589186985
2022-01-11,4851414.0,9287597.05229469
2022-01-12,12069385.0,5358030.647737233
2022-01-13,14945851.0,11008183.375297675
2022-01-14,17565174.0,14522946.780434558
2022-01-15,17165930.0,17180075.497495603
2022-01-16,18035758.0,17224627.71178807
2022-01-17,17813650.0,17907874.01614753
2022-01-18,17619134.0,17846304.79598898
2022-01-19,17128664.0,17647732.16078931
2022-01-20,12491148.0,17200773.954565868
2022-01-21,7020545.5,13172965.57917606
2022-01-22,6084613.0,7824845.24865521
2022-01-23,5087493.5,6222215.809655471
2022-01-24,15073019.0,5234092.154029279
2022-01-25,13115231.0,13604925.558767486
2022-01-26,9101392.0,13403069.203620201
2022-01-27,7295053.0,9691515.244897153
2022-01-28,8112143.5,7560624.845822485
2022-01-29,8664158.0,7992013.096853627
2022-01-30,18216636.0,8582999.640641222
2022-01-31,18517862.0,16812210.133848254
2022-02-01,18625026.0,18473575.1054416
2022-02-02,18880056.0,18609270.51817421
2022-02-03,18818046.0,18842560.940744728
2022-02-04,11131034.0,18827162.843604356
2022-02-05,14350240.0,12261195.04158721
2022-02-06,19125372.0,13876945.408285588
2022-02-07,10850593.0,18423321.820445657
2022-02-08,8234199.5,12067168.810411632
2022-02-09,19686300.0,8618867.301112058
