Fecha,srf,dia,reconstruida_srf,ajustados_srf
2021-02-15,13829443.0,412,13621154.394028584,16309852.204515174
2021-02-16,14728645.0,413,14796880.802023873,16385364.468754604
2021-02-17,21205310.0,414,16093556.934497606,16461916.919894416
2021-02-18,14784347.0,415,17295036.1398976,16539486.687865892
2021-02-19,13796910.0,416,18254748.300718162,16618050.59867661
2021-02-20,21553296.0,417,18914324.077765148,16697585.181333654
2021-02-21,21751942.0,418,19295839.653835386,16778066.674855594
2021-02-22,14203813.0,419,19474476.52828978,16859471.035371073
2021-02-23,19532504.0,420,19542720.535288878,16941773.943301953
2021-02-24,21366014.0,421,19577606.533685327,17024950.81062876
2021-02-25,20420910.0,422,19619536.62661374,17108976.788236372
2021-02-26,21190110.0,423,19666387.726931717,17193826.77333772
2021-02-27,21089278.0,424,19681772.375754774,17279475.416973226
2021-02-28,20941946.0,425,19612835.66336371,17365897.131583832
2021-03-01,19421464.0,426,19411498.975779004,17453066.09865528
2021-03-02,6297691.0,427,19053435.498826534,17540956.27643141
2021-03-03,21939318.0,428,18550599.610232268,17629541.407694146
2021-03-04,21943914.0,429,17955045.792750586,17718795.02760782
2021-03-05,20421062.0,430,17353523.599506143,17808690.471625585
2021-03-06,20523000.0,431,16853770.535818595,17899200.883455444
2021-03-07,16499226.0,432,16564672.280208465,17990299.223083563
2021-03-08,8073006.0,433,16573669.850925278,18081958.274852503
2021-03-09,14546699.0,434,16925889.68970775,18174150.655591898
2021-03-10,22056534.0,435,17610063.570502587,18266848.822799183
2021-03-11,22226728.0,436,18555824.99937119,18360025.082867928
2021-03-12,19111796.0,437,19644995.796504077,18453651.599361308
2021-03-13,17651630.0,438,20736076.334469143,18547700.401328254
2021-03-14,22901610.0,439,21697059.680840094,18642143.39165978
2021-03-15,20907268.0,440,22438195.849839896,18736952.355483
2021-03-16,23112454.0,441,22934876.094800007,18832098.968590334
2021-03-17,24120512.0,442,23232394.209749162,18927554.80590138
2021-03-18,24311680.0,443,23429027.800577432,19023291.349954892
2021-03-19,24780918.0,444,23640556.10174215,19119279.999428418
2021-03-20,23097442.0,445,23955937.72501976,19215492.077682912
2021-03-21,23228568.0,446,24398052.863222145,19311898.841329925
2021-03-22,24578508.0,447,24903358.73333371,19408471.488818675
2021-03-23,25184878.0,448,25329504.360245045,19505181.169040546
2021-03-24,25371780.0,449,25491539.772181023,19601998.989948336
2021-03-25,25319518.0,450,25217885.453404065,19698896.027187783
2021-03-26,25224956.0,451,24409872.788949333,19795843.332738724
2021-03-27,25283194.0,452,23086126.849809535,19892811.943563316
2021-03-28,19310060.0,453,21396559.638328396,19989772.890258767
2021-03-29,13804379.0,454,19599470.24714204,20086697.205711935
2021-03-30,24640966.0,455,18006536.583117418,20183555.93375329
2021-03-31,23911980.0,456,16910638.81798548,20280320.137807548
2021-04-01,11705599.0,457,16517026.421511866,20376960.9095385
2021-04-02,7806189.0,458,16897354.070224542,20473449.377485376
2021-04-03,19695526.0,459,17978821.49409591,20569756.71568822
2021-04-04,20085062.0,460,19569513.648368206,20665854.15229964
2021-04-05,25801852.0,461,21409876.909743156,20761712.9781804
2021-04-06,25661352.0,462,23232928.757018454,20857304.555476315
2021-04-07,24586580.0,463,24814751.505079463,20952600.326173782
2021-04-08,25114542.0,464,26002240.619411416,21047571.8206315
2021-04-09,25623196.0,465,26714761.182745554,21142190.666085836
2021-04-10,24739606.0,466,26926531.39874355,21236428.595127124
2021-04-11,25877982.0,467,26643255.706015892,21330257.4541446
2021-04-12,25182556.0,468,25887174.20903964,21423649.21173731
2021-04-13,24989920.0,469,24699061.191141658,21516575.96708847
2021-04-14,25155226.0,470,23156101.63504308,21609009.95830087
2021-04-15,21967280.0,471,21395008.224767644,21700923.57069075
2021-04-16,25664076.0,472,19624395.65617156,21792289.34503767
