Fecha,SRF,Dia,Reconstruida,Ajustados
2020-07-19,27657172.0,201,27720818.14716597,25067913.742940538
2020-07-20,25493358.0,202,28546947.462099507,25032084.36426835
2020-07-21,27106372.0,203,28590477.580530427,24994702.051673904
2020-07-22,27915048.0,204,27510550.656547092,24955777.976838734
2020-07-23,26816202.0,205,25271095.489566572,24915323.77219911
2020-07-24,26762120.0,206,22185225.338012695,24873351.527469665
2020-07-25,21639604.0,207,18851647.49779338,24829873.78603039
2020-07-26,14190962.0,208,15999021.969314734,24784903.54117806
2020-07-27,9337847.0,209,14283974.04025954,24738454.2322432
2020-07-28,13825486.0,210,14103820.253954042,24690539.740573738
2020-07-29,9683968.0,211,15481033.48853293,24641174.38538658
2020-07-30,23392706.0,212,18054433.485375054,24590372.919488315
2020-07-31,24469380.0,213,21179256.219626904,24538150.524866357
2020-08-01,26705378.0,214,24105217.997821916,24484522.808151808
2020-08-02,23211228.0,215,26178891.827105142,24429505.79595542
2020-08-03,26283932.0,216,27011057.456940673,24373115.930078074
2020-08-04,24391670.0,217,26562392.890419368,24315370.06259714
2020-08-05,24681500.0,218,25127270.409849074,24256285.45083025
2020-08-06,25998696.0,219,23226666.221199535,24195879.752177954
2020-08-07,22969202.0,220,21447317.237751257,24134171.018846817
2020-08-08,21181744.0,221,20277429.790235583,24071177.692454543
2020-08-09,15903239.0,222,19986195.535393696,24006918.59851868
2020-08-10,17925220.0,223,20577198.72052301,23941412.940830663
2020-08-11,23606894.0,224,21820965.552957438,23874680.29571673
2020-08-12,24916256.0,225,23347842.673932742,23806740.606187586
2020-08-13,25716464.0,226,24766608.565496776,23737614.175978426
2020-08-14,27781326.0,227,25770910.62768965,23667321.663481176
2020-08-15,26134254.0,228,26204530.24361135,23595884.075570755
2020-08-16,24177780.0,229,26073366.35917024,23523322.761327177
2020-08-17,25507832.0,230,25510433.08294762,23449659.40565539
2020-08-18,23765794.0,231,24713799.233669516,23374916.022804767
2020-08-19,20169384.0,232,23882283.941430226,23299114.949790128
2020-08-20,24037228.0,233,23169367.651767693,23222278.83971639
2020-08-21,25029930.0,234,22665009.197797935,23144430.655008644
2020-08-22,24610662.0,235,22402695.89754538,23065593.660549898
2020-08-23,23958042.0,236,22379961.413089536,22985791.41672833
2020-08-24,24796692.0,237,22577887.007087115,22905047.772396334
2020-08-25,16590756.0,238,22969067.64899733,22823386.85774326
2020-08-26,23134702.0,239,23511791.53457187,22740833.077084146
2020-08-27,24188188.0,240,24136786.904115617,22657411.1015665
2020-08-28,25414676.0,241,24737956.16686362,22573145.861797333
2020-08-29,25819084.0,242,25177809.68371974,22488062.54039267
2020-08-30,25093258.0,243,25312096.187697593,22402186.56445174
2020-08-31,23574204.0,244,25029020.94054134,22315543.59795811
2020-09-01,24878106.0,245,24290339.693672426,22228159.53410999
2020-09-02,25986296.0,246,23158115.916167684,22140060.487582102
2020-09-03,25216718.0,247,21793881.91703962,22051272.786721315
2020-09-04,21853010.0,248,20425674.045657206,21961822.96567841
2020-09-05,8963539.0,249,19289904.00573412,21871737.756478406
2020-09-06,16343973.0,250,18565026.57709059,21781044.081031673
2020-09-07,21047108.0,251,18318560.61548377,21689769.043088365
2020-09-08,23142812.0,252,18486146.060506936,21597939.920138456
2020-09-09,21613018.0,253,18891580.28742379,21505584.15525989
2020-09-10,14943459.0,254,19303315.21116551,21412729.348917242
2020-09-11,17320074.0,255,19510321.367162377,21319403.25071332
2020-09-12,23210112.0,256,19392988.595989615,21225633.751096226
2020-09-13,22103806.0,257,18965534.443035886,21131448.8730243
2020-09-14,15561369.0,258,18375185.961138222,21036876.763591483
2020-09-15,14985582.0,259,17857368.11741711,20941945.685615584
2020-09-16,15865133.0,260,17660623.898632295,20846684.009191927
2020-09-17,18042004.0,261,17965123.768800393,20751120.203215003
2020-09-18,21577728.0,262,18820957.58554267,20655282.826870527
2020-09-19,21567676.0,263,20126130.20911503,20559200.521100543
2020-09-20,21339852.0,264,21651393.298802108,20462902.000044126
2020-09-21,23864196.0,265,23104007.08853359,20366416.042456143
2020-09-22,23890126.0,266,24210217.83549114,20269771.48310677
2020-09-23,23971064.0,267,24790663.835690685,20172997.204164207
