Fecha,et
2021-08-29,4.579543
2021-08-30,5.3094163
2021-08-31,5.234219
2021-09-01,5.2709975
2021-09-02,4.909769
2021-09-03,4.12329
2021-09-04,4.069367
2021-09-05,5.241946
2021-09-06,4.9014215
2021-09-07,5.1754017
2021-09-08,4.9712477
2021-09-09,4.9220695
2021-09-10,5.3684745
2021-09-11,4.4673324
2021-09-12,4.7217097
2021-09-13,3.9803545
2021-09-14,4.832399
2021-09-15,4.4503593
2021-09-16,3.2499027
2021-09-17,4.2043176
2021-09-18,4.5186567
2021-09-19,4.95283
2021-09-20,5.1794167
2021-09-21,4.458924
2021-09-22,3.460483
2021-09-23,4.3806615
2021-09-24,3.7914753
2021-09-25,3.5923564
2021-09-26,4.2575884
2021-09-27,5.1577096
2021-09-28,5.0557137
2021-09-29,4.208354
2021-09-30,3.4093616
2021-10-01,4.0252542
2021-10-02,1.9522772
2021-10-03,2.6172812
2021-10-04,2.9536624
2021-10-05,3.828089
2021-10-06,4.2329707
2021-10-07,4.31859
2021-10-08,4.3757358
2021-10-09,4.741728
2021-10-10,4.9729304
2021-10-11,4.6146064
2021-10-12,4.8753743
2021-10-13,4.324642
2021-10-14,3.8239186
2021-10-15,3.7688854
2021-10-16,3.2543142
2021-10-17,3.6521573
2021-10-18,4.011457
2021-10-19,4.1950746
2021-10-20,4.1955147
2021-10-21,3.738231
2021-10-22,3.6418266
2021-10-23,3.95613
2021-10-24,3.856198
2021-10-25,2.8931904
2021-10-26,4.3941865
2021-10-27,4.585229
2021-10-28,3.8373487
2021-10-29,3.5580192
2021-10-30,3.8779886
2021-10-31,3.5672138
2021-11-01,3.6942408
2021-11-02,3.7784188
2021-11-03,3.8029366
2021-11-04,2.8633485
2021-11-05,2.7151444
2021-11-06,3.0305083
2021-11-07,3.3900666
2021-11-08,3.457738
2021-11-09,3.4836755
2021-11-10,3.5694952
2021-11-11,3.4964051
2021-11-12,3.0677712
2021-11-13,2.31101
2021-11-14,3.3963532
2021-11-15,3.3616214
2021-11-16,3.5223436
2021-11-17,3.4790893
2021-11-18,3.363897
2021-11-19,2.8693066
2021-11-20,3.11797
2021-11-21,3.317453
2021-11-22,3.045698
2021-11-23,2.7456536
2021-11-24,3.3685892
2021-11-25,2.589502
2021-11-26,2.2889235
