Parcela,Fecha,dias,ndvi,gndvi,cire,ndre1,ndre,ndmi,msi,temp,dia_x,reconstruida_temp,ajustados_temp,srf,dia_y,reconstruida_srf,ajustados_srf,precip,precip_acum,et,dia,reconstruida_et,ajustados_et,et_acum,et_acum_ajustados,rh12,rh12_holtwin_predicts
9,2023-10-09,57.0,0.36644944999999995,0.3661142051,0.7783949383000002,0.1800961477,0.23236334179999998,-0.12653201940000003,1.3780813429999998,300.1202,1378,299.5201836898874,298.39959024682616,15882255.0,1378,10665537.54846973,17725461.39959699,0.0,78.9,3.5377831,1378,3.0534873105441145,3.708085546441535,292.1672894000001,252.0515094337246,42.729385,44.53583994976295
9,2023-10-10,58.0,0.3708689018,0.3690827067,0.7974288960000002,0.183615295,0.23619344940000006,-0.12218756110000001,1.3689857897,298.20383,1379,299.77454665343765,298.3119873318738,6752914.5,1379,10933648.37591083,17637557.912905827,1.6,80.5,1.7033606,1379,2.9825056168141835,3.684450516385719,293.87065000000007,255.7359599501103,60.480404,52.853020981195606
9,2023-10-11,59.0,0.375259386,0.3720327391,0.8163285831,0.18711020530000003,0.23999794180000003,-0.11786635499999998,1.3599398,298.44678,1380,300.2285912301936,298.2246399760067,12249127.0,1380,12249208.386128403,17550324.27997531,0.05,80.55,2.3239398,1380,3.077879174026468,3.661022578744333,296.1945898000001,259.3969825288546,56.840775,57.92678359378071
9,2023-10-12,60.0,0.3796209026,0.3749643023,0.8350939996000002,0.19058087859999998,0.243776819,-0.1135684011,1.3509433738999999,303.38138,1381,300.6548105107425,298.13757437378285,22386926.0,1381,14373911.109875685,17463786.910136826,0.01,80.56,4.7534566,1381,3.3158897006373653,3.637808750338477,300.94804640000007,263.0347912791931,40.827595,51.65036114158283
9,2023-10-13,61.0,0.3839534516,0.3778773963,0.8537251455000001,0.1940273149,0.24753008100000004,-0.10929369939999994,1.3419965113999999,305.04706,1382,300.8380617768911,298.0508166352655,20839994.0,1382,16897964.43848349,17377972.00193337,5.38,85.94,4.57445,1382,3.642846385755289,3.614815983862119,305.5224964000001,266.6496072630552,42.815655,48.820187357435465
9,2023-10-14,62.0,0.388257033,0.38077202109999997,0.8722220208000002,0.19744951420000004,0.2512577278,-0.1050422499,1.3330992124999999,301.06268,1383,300.64821004285,297.9643927781926,18337968.0,1383,19336449.27333816,17292905.535188,9.43,95.37,4.3209615,1383,3.988444182349229,3.5920511657997385,309.8434579000001,270.2416584288549,59.54714,51.45252479438172
9,2023-10-15,63.0,0.39253164679999997,0.38364817669999995,0.8905846255000001,0.20084747649999998,0.2549597594,-0.10081405259999998,1.3242514771999998,298.38956,1384,300.0879564712509,297.8783287201746,13951974.0,1384,21244740.989678487,17208613.26313874,0.04,95.41000000000001,3.6342344,1384,4.282589888542237,3.569521114363752,313.4776923000001,273.81117954321866,48.83301,54.48384360478681
9,2023-10-16,64.0,0.396777293,0.3865058631,0.9088129596000001,0.2042212018,0.2586361758,-0.09660910749999996,1.3154533055,297.02722,1385,299.2989657213792,297.792650270922,20797774.0,1385,22321246.726069625,17125120.70464192,0.0,95.41000000000001,4.3811846,1385,4.4712374725519615,3.5472325774524456,317.8588769000001,277.3584121206711,34.979374,50.587074986761024
9,2023-10-17,65.0,0.4009939716,0.3893450803,0.9269070231000003,0.20757069010000004,0.262286977,-0.09242741459999998,1.3067046973999998,295.5352,1386,298.52224591382003,297.70738312450527,21400956.0,1386,22469286.442597788,17042453.136446614,0.0,95.41000000000001,3.7137218,1386,4.527272692599395,3.5251922306289187,321.57259870000007,280.88360435130005,42.060932,34.31629439072516
9,2023-10-18,66.0,0.4051816826,0.3921658283,0.944866816,0.21089594139999998,0.265912163,-0.08826897389999999,1.2980056529,296.9486,1387,298.0233565936021,297.62255285164946,22168026.0,1387,21801902.88896984,16960635.585542183,0.0,95.41000000000001,4.35239,1387,4.453991760163567,3.503406675121698,325.9249887000001,284.38701102642176,37.26429,41.89156975132055
9,2023-10-19,67.0,0.40934042600000003,0.39496810709999997,0.9626923383000003,0.2141969557,0.2695117338,-0.0841337854,1.289356172,300.01648,1388,298.00475447253484,297.5381848920658,19805734.0,1388,20590201.028556835,16879692.82158163,0.0,95.41000000000001,3.9751978,1388,4.28078109728891,3.481882435847652,329.9001865000001,287.8688934622694,37.433613,35.26671060622659
9,2023-10-20,68.0,0.4134702018,0.3977519167,0.9803835900000002,0.21747373300000003,0.2730856894,-0.08002184909999999,1.2807562547,301.77298,1389,298.5325891474253,297.4543045468226,21607224.0,1389,19172422.652513552,16799649.349382695,-0.0,95.41000000000001,4.072304,1389,4.052664410058161,3.460625959457717,333.97249050000005,291.3295194217271,38.954056,39.26843023538576
9,2023-10-21,69.0,0.41757101,0.40051725709999997,0.9979405711000002,0.22072627330000003,0.2766340298,-0.07593316499999997,1.272205901,301.25967,1390,299.501768390342,297.3709369707578,21431296.0,1390,17852286.63961909,16720529.40150932,0.01,95.42000000000002,4.549024,1390,3.8169109322355896,3.439643612406093,338.5215145,294.7691630341332,45.040867,40.86728930773036
9,2023-10-22,70.0,0.4216428506,0.40326412829999997,1.0153632816000002,0.22395457660000004,0.280156755,-0.0718677331,1.2637051109,300.58444,1391,300.65204015470374,297.28810716493507,20734900.0,1391,16817670.11024454,16642356.930935292,0.14,95.56000000000002,4.5244327,1391,3.6105230778481694,3.4189416790434315,343.0459472,298.18810471317664,44.29124,40.27372206233664
9,2023-10-23,71.0,0.4256857236,0.40599253029999993,1.0326517215000002,0.2271586429,0.283653865,-0.06782555339999996,1.2552538843999999,301.15994,1392,301.6325169417227,297.2058399691465,15167245.0,1392,16103653.585430264,16565155.603792716,1.05,96.61000000000001,3.7061303,1392,3.452008381196072,3.3985263597346558,346.7520775,301.5866310729113,53.22627,45.0696728418777
