Parcela,Fecha,dias,ndvi,gndvi,cire,ndre1,ndmi,msi,temp,dia_x,reconstruida_temp,ajustados_temp,srf,dia_y,reconstruida_srf,ajustados_srf,precip,precip_acum,et,dia,reconstruida_et,ajustados_et,et_acum,et_acum_ajustados,rh12,rh12_holtwin_predicts,kc,etc,etc_acum
13,2023-05-26,86.0,0.5093302426999999,0.4555721927,1.1350387553,0.2775927052,0.0430933755999999,0.9798436139,302.3671,1242,301.8003475161018,303.26997273194706,25804816.0,1242,26450968.842986524,24870864.936097942,0.03,127.59000000000002,6.208512,1242,6.231779373940593,6.19701901588061,447.1968172,463.2599156546184,37.463913,44.23222380520889,0.7557297791049999,4.6919574023307415,268.7317306247841
13,2023-05-27,87.0,0.5120972615999999,0.4574396684,1.1437059078000005,0.2794392597,0.0454706778999999,0.9750264079,302.04483,1243,301.91243807356204,303.319392830942,24171654.0,1243,26262661.791331265,24907748.346425407,0.02,127.61,5.9922857,1243,6.240653060862736,6.204984713945656,453.1891029,469.464900368564,38.765087,39.11090773935298,0.7589118508399999,4.547616631349064,273.2793472561332
13,2023-05-28,88.0,0.5148452641000001,0.4592947592999999,1.1523080435000002,0.2812723954,0.0478326328,0.9702394560999998,301.0199,1244,301.9902569906937,303.3675646111876,25247548.0,1244,25524162.81445112,24943090.266249783,0.24,127.85,5.95379,1244,6.142083979229292,6.212468119521705,459.14289290000005,475.6773684880857,45.868855,37.9359448060659,0.7620720537150001,4.53721697268783,277.816564228821
13,2023-05-29,89.0,0.5175742502,0.4611374654,1.1608451624,0.2830921123,0.0501792402999999,0.9654827585,301.44632,1245,302.0262834458275,303.4144736238473,22975828.0,1245,24357920.61318828,24976879.9922502,0.59,128.44,5.5923595,1245,5.953196113538763,6.219466987333997,464.73525240000004,481.8968354754197,44.435482,46.81441687771016,0.76521038773,4.279331581320549,282.09589581014154
13,2023-05-30,90.0,0.5202842199,0.4629677867,1.1693172645,0.2848984103999999,0.0525105004,0.9607563151,302.15518,1246,302.0208425335252,303.4601057988439,25901100.0,1246,22990682.50034057,25009107.29118856,0.78,129.22,6.1735816,1246,5.709777578965235,6.225979217485492,470.908834,488.1228146929052,38.86487,42.94109837268039,0.7683268528849999,4.743328521756743,286.83922433189827
13,2023-05-31,91.0,0.5229751732000001,0.4647857232,1.1777243498,0.2866912897,0.0548264130999999,0.9560601259,303.07513,1247,301.98611316658935,303.5044474490802,26667050.0,1247,21698319.10637594,25039762.403008714,0.0,129.22,6.4549694,1247,5.458444459428841,6.2320028560869005,477.3638034,494.3548175489921,44.69771,42.19234741762981,0.7714214491800001,4.979501848960556,291.81872618085885
13,2023-06-01,92.0,0.5256471101,0.4665912748999999,1.1860664183,0.2884707502,0.0571269783999999,0.9513941909,302.3816,1248,301.9464885278093,303.547485274544,20370856.0,1248,20737945.619171742,25068836.043792315,0.58,129.8,5.42812,1248,5.246579906485471,6.237536095842926,482.7919234,500.59235364483504,53.33916,47.37501625339336,0.774494176615,4.2040473299674135,296.02277351082626
13,2023-06-02,93.0,0.5283000306,0.4683844418,1.1943434700000002,0.2902367918999999,0.0594121963,0.9467585101,301.585,1249,301.93480870291546,303.5892063662975,15850596.0,1249,20286635.950524542,25096319.40857041,1.91,131.71,4.225461,1249,5.112712283903635,6.24257727659451,487.01738439999997,506.83493092142953,62.266052,52.61807115638241,0.77754503519,3.2854862219389727,299.30825973276524
13,2023-06-03,94.0,0.5309339346999999,0.4701652239,1.2025555049,0.2919894147999999,0.0616820667999999,0.9421530835,301.1788,1250,301.98531359430774,303.6295982103495,15134578.0,1250,20403504.85958332,25122204.173990056,1.1,132.81,3.9765124,1250,5.079622141904521,6.247124885816937,490.99389679999996,513.0820558072464,55.45957,56.743888307062086,0.7805740249049999,3.103962289152641,302.4122220219179
13,2023-06-04,95.0,0.5335488224,0.4719336212,1.210702523,0.2937286189,0.0639365898999999,0.9375779111,301.5227,1251,302.1252820639649,303.66864869140846,21302342.0,1251,21024557.65255905,25146482.50083506,1.17,133.98,4.9797244,1251,5.151520837046911,6.25117755907364,495.97362119999997,519.3332333663201,53.815838,50.488818133088834,0.78358114576,3.902018150921029,306.31424017283894
