Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Evapotranspiration,Kc,ETc,Dia,msi_mean_pred_1,msi_mean_pred_2,msi_mean_pred_3,msi_mean_pred_4,msi_mean_pred_5,msi_mean_pred_6,msi_mean_pred_7,msi_mean_pred_8,msi_mean_pred_9
31,2022-11-27,5,0.7779213624126738,0.5187046342825238,0.8454175640105288,0.308986754957789,0.0291335603480892,0.4121955685771836,0.5308528846493691,0.4162344398340249,0.9433823529411764,0.6794049781081217,0.536289183846371,0.7440502918724742,2.024375002504641,1.1302681992337165,2.470684280837168,2.9512036,1.0646095667745747,3.141879586059565,250,0.8237705701549386,0.4469064074249659,0.5058085013396951,0.48013266044978575,0.5364227213956312,0.6780538628996737,0.127592131797428,0.15169926185910884,0.3797066064908847
32,2022-12-22,5,0.7536487606753477,0.5567267683772538,0.8217106747912435,0.3001654499140093,0.0209205020920502,0.3960867265996827,0.5413254412970333,0.4325757575757575,0.9590163934426228,0.6469408721561116,0.5387990128873046,0.7203751065643649,2.396694255358668,1.476293103448276,2.983221476510068,2.6765351,1.0366960747766498,2.774753432171928,275,0.7650581770905925,0.47171281885663013,0.5367179300021832,0.5364953025734743,0.587062509447291,0.4818595796199361,0.531743286220717,0.3928859952344745,0.3564163879371449
33,2022-12-27,5,0.7487848870742912,0.5514950166112956,0.830659096519378,0.2897831596747866,0.055367231638418,0.3878562577447336,0.553873382676317,0.4410714285714285,0.8950749464668094,0.6535081513256129,0.5497757847533632,0.7321100917431193,1.8443067727527915,1.085438829787234,2.291270057111776,2.6593611,1.031102620135435,2.7420741980962524,280,0.7533156984777234,0.48039017281411533,0.5455368964343617,0.5505632654766932,0.5976895081205438,0.44741612354084737,0.6228253751064585,0.47121467126607225,0.3885303813851806
35,2023-01-16,5,0.6830964075374609,0.4895774647887324,0.7882589061716005,0.2370619547045349,0.052817679558011,0.3491039426523297,0.6206688724721959,0.4824654622741764,0.899664147774979,0.6078077279108746,0.5086021505376344,0.6945279615153337,1.750767233132027,0.956837700946928,2.5041459369817582,3.1169145,0.95556086866808,2.9784015271841344,300,0.7063457840262466,0.5274864942145616,0.5888889483720732,0.6133060657886084,0.6400494393900171,0.36228373921244383,0.9470973524964847,0.8165419941300959,0.6170727926941026
36,2023-02-05,5,0.66586743680893,0.4837355718782791,0.7655813953488372,0.2260073172270077,0.0436953807740324,0.3287941229170399,0.6349606794268566,0.5051240560949298,0.916267942583732,0.590410086772499,0.5098684210526315,0.6671081677704195,1.717219653326533,0.9987864077669903,2.314730100640439,3.3240013,0.9357475523302696,3.110426080417634,320,0.6593758695747698,0.5944018645278186,0.6441346190266586,0.681653824018347,0.681486900500758,0.40272798320972925,1.0986131511376698,1.0676224114831978,0.8890048203845708
37,2023-02-15,5,0.6025752212363232,0.4161271336080047,0.6949152542372882,0.2100294348170081,0.0179239708489265,0.3033054849255358,0.6557208351775148,0.5345596432552955,0.9647832817337462,0.5317393754590741,0.415996938384998,0.6072072072072072,1.847659427577773,0.9927089175546832,3.103534096565456,4.4592023,0.8629615044217717,3.8481199253290246,330,0.6358909123490313,0.635291693026751,0.6757891116988137,0.7157386430980799,0.7023539257516482,0.4778801055239228,1.0760690332185732,1.0957499295596609,0.9715448127826676
38,2023-03-02,5,0.5755974108021294,0.3981220657276995,0.672085462145843,0.1569190041425637,-0.0458052864882613,0.2669364772127398,0.732675053085732,0.5786111111111111,1.0960082587749485,0.5293802210249641,0.4425051334702258,0.5971668880035413,1.7856248129332666,0.936292370542122,2.4125,6.0360613,0.8319370224224488,5.021622865081375,345,0.6006634765104237,0.7059166149530305,0.7278284165049147,0.7640074300953299,0.7356075705835607,0.6477371929685205,0.9173464891296135,0.9742607520307106,0.9500216414921852
39,2023-03-07,5,0.5743239506190227,0.398414271555996,0.6802168021680217,0.1568645496113617,-0.0253842168882749,0.2712592338086239,0.73274967959881,0.5732432432432433,1.052090715804394,0.5270408764956971,0.4420600858369098,0.6028119507908611,1.4751447796271204,0.7910271546635184,2.0482366656951325,4.690739,0.8304725432118761,3.8955299468731326,350,0.5889209978975545,0.7319356367092247,0.7463045123849206,0.7788077888198343,0.7477168326902657,0.7135410157621891,0.8390734444342343,0.8924043909975157,0.8970824433322377
40,2023-03-12,5,0.5447479528377313,0.3741636644364385,0.6498269896193771,0.1226741729443217,-0.0565289256198347,0.2468265162200282,0.7857121262544785,0.6040723981900452,1.119831814996496,0.5095484334760937,0.4272101641079937,0.5799373040752351,1.692953781194646,0.8548918156161807,2.379265336565356,4.9784517,0.796460145763391,3.965138366658001,355,0.5771785192846853,0.7591933490224695,0.7653097345977464,0.7927326905175117,0.7606091899326621,0.7799393869809137,0.7548028975920715,0.7955149801856279,0.8229080035271181
41,2023-03-17,5,0.5891761629587905,0.4176685833768949,0.7000228990153423,0.1251294086642784,-0.0572512190716994,0.2459691252144082,0.7818805420583049,0.6051762114537445,1.121455938697318,0.5369338759304694,0.4530386740331492,0.6175942549371634,1.4691825016615532,0.8627581612258495,2.039636663914121,5.026175,0.8475525874026091,4.259947625988309,360,0.5654360406718161,0.787689751892765,0.7848226606596969,0.8056378406204365,0.7744803962746545,0.8436480569308742,0.6706932776633039,0.6902593877652264,0.732140259191965
42,2023-03-27,5,0.5060401986759173,0.2608236536430834,0.6465028355387523,0.0802838947277099,-0.0816806722689075,0.215488800138913,0.8565294965813692,0.6454285714285715,1.177891654465593,0.4790656627607909,0.2424557752341311,0.5656235404016815,1.485300794876064,0.7884089666484417,4.446407538280329,5.1545553,0.7519462284773049,3.875948417312703,370,0.5419510834460777,0.8483986293045082,0.8252859343961756,0.8277924029896614,0.8060602410675237,0.9464613259428916,0.5362789524788241,0.4956676382122461,0.5371083593854564
43,2023-04-21,5,0.486416664069179,0.3098125689084895,0.602954755309326,0.0633402458475574,-0.0917123166637215,0.3210619469026549,0.8860884069623184,0.5139335476956056,1.2019455252918287,0.4352033567831088,0.2694698354661791,0.5214723926380368,2.9920488304158046,-602.2222222222222,360.5882352941177,5.3039637,0.7293791636795558,3.868600607692722,395,0.4832386903817316,1.0218479075822535,0.9338293622381553,0.8544893021940101,0.9205597893308877,0.7830828368930725,1.0146431963512441,0.9925219967438476,0.9604647761034357
