Fecha,RH12,Dia,Reconstruida,Ajustados
2022-03-29,40.936615,819,32.459976555136514,43.535412598079596
2022-03-30,23.765965,820,35.09358030960992,43.53010203951371
2022-03-31,20.496304,821,36.980614235888524,43.526024122488806
2022-04-01,37.81587,822,37.746765044032614,43.52317982606005
2022-04-02,43.32041,823,37.29502641177595,43.521569833106234
2022-04-03,41.232548,824,35.82530000505643,43.52119453016585
2022-04-04,40.409275,825,33.7707074805719,43.52205400734429
2022-04-05,34.104355,826,31.672377077888243,43.52414805829219
2022-04-06,24.344624,827,30.0325043131841,43.52747618025499
2022-04-07,21.006947,828,29.190383748854835,43.53203757419364
2022-04-08,27.41049,829,29.256585330110553,43.537831144976415
2022-04-09,33.218166,830,30.120041075467288,43.54485550164189
2022-04-10,36.758713,831,31.518629252087084,43.55310895773284
2022-04-11,33.358578,832,33.14411293092392,43.562589531701164
2022-04-12,38.860897,833,34.74349196194372,43.573294947383616
2022-04-13,29.826792,834,36.183492330492406,43.585222634548316
2022-04-14,31.911253,835,37.46080750699569,43.59836972951177
2022-04-15,40.728683,836,38.6616956638545,43.612733075826455
2022-04-16,46.09425,837,39.89286125068526,43.62830922503862
2022-04-17,41.065365,838,41.21463122775998,43.645094437516235
2022-04-18,41.916298,839,42.60425341099261,43.663084683346774
2022-04-19,42.113285,840,43.96329285595904,43.68227564330481
2022-04-20,43.236286,841,45.16415871879533,43.70266270988898
2022-04-21,48.88314,842,46.11420876334702,43.72424098842818
2022-04-22,50.77133,843,46.80816704371475,43.74700529825669
2022-04-23,39.175858,844,47.343858600313155,43.770950173958056
2022-04-24,45.434147,845,47.89099415329554,43.796069866677186
2022-04-25,50.2733,846,48.62229592077388,43.822358345500625
2022-04-26,60.468075,847,49.63297672352543,43.84980929890449
2022-04-27,49.824844,848,50.88166334532806,43.87841613626978
2022-04-28,51.202908,849,52.17999063357874,43.90817198946468
2022-04-29,48.28517,850,53.240879137911485,43.93906971449355
2022-04-30,45.99103,851,53.773016420705595,43.97110189321207
2022-05-01,58.370865,852,53.58970924487667,44.00426083510828
2022-05-02,56.36579,853,52.69173257191016,44.038538579148934
2022-05-03,51.58609,854,51.290057766236224,44.073926895690846
2022-05-04,52.930145,855,49.75401606163627,44.11041728845674
2022-05-05,47.787792,856,48.49704702972349,44.14800099657509
2022-05-06,46.731304,857,47.836244186706004,44.18666899668349
2022-05-07,45.09183,858,47.874386536241495,44.226412005095035
2022-05-08,46.884277,859,48.4487313307825,44.26722048002725
2022-05-09,45.975266,860,49.170111355646526,44.30908462389287
2022-05-10,53.863743,861,49.545352400798386,44.35199438565224
2022-05-11,55.9312,862,49.146094717718775,44.39593946322632
2022-05-12,46.220257,863,47.768459534079284,44.44090930597012
2022-05-13,41.08569,864,45.52782529070808,44.48689311720583
2022-05-14,42.69959,865,42.85222359011909,44.53387985681486
2022-05-15,38.872124,866,40.37068018808323,44.58185824388852
2022-05-16,40.56477,867,38.72836646830894,44.63081675943638
2022-05-17,34.722298,868,38.38649527036263,44.68074364915181
2022-05-18,45.161415,869,39.47217713806998,44.73162692623409
2022-05-19,44.763252,870,41.72885901819626,44.783454374266256
2022-05-20,42.074356,871,44.58588095476023,44.83621355014809
2022-05-21,44.938072,872,47.326629660270186,44.88989178708357
2022-05-22,46.730515,873,49.30189221579168,44.94447619762201
2022-05-23,48.98986,874,50.1195998732798,44.99995367675214
2022-05-24,54.378708,875,49.74967987646917,45.05631090504847
2022-05-25,47.13633,876,48.510896676861464,45.11353435186913
2022-05-26,51.38589,877,46.9459632115922,45.17161027860434
2022-05-27,43.357655,878,45.62850419355659,45.23052474197495
2022-05-28,43.9598,879,44.96794745923262,45.29026359738002
2022-05-29,44.196354,880,45.07840766881283,45.35081250229267
2022-05-30,42.83379,881,45.75510624419451,45.412156919703676
2022-05-31,47.891056,882,46.56457274144985,45.47428212161153
2022-06-01,48.124672,883,47.01561838753895,45.537173192558434
2022-06-02,52.60379,884,46.750361292201404,45.60081503321136
2022-06-03,43.64032,885,45.68792790033433,45.6651923639872
2022-06-04,40.654568,886,44.07009421340213,45.73028972872112
2022-06-05,40.49152,887,42.3922554628088,45.79609149837749
2022-06-06,39.46054,888,41.24289095122752,45.862581874802146
2022-06-07,43.710102,889,41.10637031461444,45.92974489451534
2022-06-08,42.93124,890,42.19662447476309,45.99756443254439
2022-06-09,53.72745,891,44.37858744198304,46.066024206295005
2022-06-10,41.304325,892,47.20418247194229,46.135107779460625
2022-06-11,48.24835,893,50.05047763922974,46.2047985659685
2022-06-12,47.733772,894,52.31301738359321,46.27507983396179
2022-06-13,49.874805,895,53.589127969549935,46.34593470981671
2022-06-14,58.23868,896,53.790307089247925,46.417346182193626
