Fecha,SRF,holtwinters_predicts
2020-10-15,21036958.0,19793046.331123866
2020-10-16,14730931.0,17674154.189070884
2020-10-17,19247650.0,17329039.070583567
2020-10-18,21573482.0,16938195.671110123
2020-10-19,21085772.0,19094123.05304145
2020-10-20,18781740.0,23774440.835586876
2020-10-21,20793512.0,21356537.136110052
2020-10-22,20128612.0,20059741.025525793
2020-10-23,20541452.0,20478882.811955903
2020-10-24,19119640.0,19990589.94413264
2020-10-25,21044810.0,16678979.664093668
2020-10-26,20290254.0,21798192.623810157
2020-10-27,20069754.0,22047939.175230358
2020-10-28,17345238.0,19025149.680494487
2020-10-29,15915853.0,16476088.50375257
2020-10-30,20783352.0,19532326.39721373
2020-10-31,20427228.0,16771573.608009836
2020-11-01,19653148.0,19317135.04361607
2020-11-02,16976706.0,19094910.97302591
2020-11-03,20470276.0,20827158.590952504
2020-11-04,20074222.0,18946569.873594474
2020-11-05,19071892.0,18412061.871037763
2020-11-06,17346450.0,19948463.15441653
2020-11-07,19328568.0,17944516.721932217
2020-11-08,19222974.0,18996731.19501195
2020-11-09,18394070.0,18828094.78387472
2020-11-10,18061082.0,18996340.83688426
2020-11-11,16078433.0,18230958.594511114
2020-11-12,17667056.0,13983065.491337052
2020-11-13,16548035.0,14079160.747038009
2020-11-14,18459838.0,21019442.343258668
2020-11-15,15331464.0,15693780.62918837
2020-11-16,13811485.0,14394377.015225869
2020-11-17,12051245.0,12126095.176429244
2020-11-18,14248299.0,13363956.940092886
2020-11-19,14914201.0,14374441.614370171
2020-11-20,14419869.0,13422044.559112795
2020-11-21,4769195.0,11196431.80763766
2020-11-22,14327178.0,9964589.986498065
2020-11-23,16666509.0,16262774.46697278
2020-11-24,17578230.0,18043095.79119706
2020-11-25,16922498.0,13922587.690841563
2020-11-26,16729616.0,13108165.777731782
2020-11-27,16682646.0,20544807.612409465
2020-11-28,14874097.0,17035217.81801472
2020-11-29,6406866.5,14295704.986237634
2020-11-30,8747631.0,10676572.220890531
2020-12-01,16996618.0,9406758.79229749
2020-12-02,17166642.0,16596020.73306181
2020-12-03,10342103.0,14088268.060991338
2020-12-04,9162766.0,11491507.386109443
2020-12-05,7785407.0,10699901.195617452
2020-12-06,5459504.5,8260959.197579486
2020-12-07,15873566.0,8136903.051168089
2020-12-08,16423065.0,14027888.796269652
2020-12-09,16932268.0,15594541.962333813
2020-12-10,16817966.0,16222457.894224856
2020-12-11,16296521.0,16339100.299502607
2020-12-12,15760718.0,13924982.41198929
2020-12-13,16168090.0,17552761.913002905
2020-12-14,11966702.0,15231450.468270225
2020-12-15,16601927.0,14614633.492955357
2020-12-16,16737100.0,15745154.448968707
2020-12-17,9092278.0,11318193.536125079
2020-12-18,14695771.0,10731892.423195865
2020-12-19,16294816.0,14195881.769792518
2020-12-20,12964454.0,15225672.697108293
2020-12-21,9456080.0,14231346.29754822
2020-12-22,13570614.0,14272877.092444172
2020-12-23,16236434.0,11256930.768061731
2020-12-24,13089353.0,12466420.182858588
2020-12-25,16591401.0,13380374.828678694
2020-12-26,16259081.0,18504864.902897317
2020-12-27,16863208.0,18035954.368619703
2020-12-28,16446013.0,17601466.75959625
2020-12-29,16343316.0,17066291.374633994
2020-12-30,16670205.0,16544308.518315636
2020-12-31,15996825.0,16050497.380373871
2021-01-01,7606145.5,13668317.024180047
2021-01-02,5618851.0,9521813.053721081
2021-01-03,14856337.0,10984816.784812659
2021-01-04,17123684.0,14092058.287551358
2021-01-05,15361040.0,14992589.433648929
2021-01-06,16682095.0,15153744.247165773
2021-01-07,14075517.0,12567589.525699805
2021-01-08,16705447.0,15974812.738719866
2021-01-09,7902226.0,12320757.936386917
2021-01-10,16829638.0,12194724.443897896
2021-01-11,6125802.5,9930845.874007663
2021-01-12,8231300.5,11043654.99867845
2021-01-13,11811168.0,12352779.631848905
2021-01-14,14604393.0,13900307.770009387
2021-01-15,17129220.0,14904062.95008996
2021-01-16,16940242.0,16281246.175050355
2021-01-17,15720211.0,15835922.025817487
2021-01-18,17016142.0,16209298.59809145
2021-01-19,12482835.0,14305702.825844178
2021-01-20,3310162.0,9181354.545293368
2021-01-21,14255720.0,8287426.263842516
2021-01-22,16104956.0,8450683.38087974
2021-01-23,15059105.0,10575238.264306398
2021-01-24,14382873.0,20328509.7531111
2021-01-25,18122328.0,16977170.94908729
2021-01-26,18329782.0,14746474.886524627
2021-01-27,17532490.0,14083365.039028287
2021-01-28,7553814.0,16387951.855906347
2021-01-29,13558540.0,14600055.781329848
2021-01-30,18453572.0,18483948.63392792
2021-01-31,17303606.0,17319631.91114355
2021-02-01,13509264.0,12760120.967296354
2021-02-02,18898932.0,16687253.62886659
2021-02-03,19053874.0,19403566.99863033
2021-02-04,19154378.0,18414592.444688313
2021-02-05,19389470.0,19960804.812762316
2021-02-06,19390684.0,21245729.95073699
2021-02-07,18771838.0,16744009.595253108
2021-02-08,19598626.0,16023594.196774658
2021-02-09,18015268.0,20105763.49362745
2021-02-10,17556712.0,15131484.11478441
2021-02-11,15889551.0,19292731.180411283
2021-02-12,8147524.5,17985656.079461608
2021-02-13,10161605.0,12092465.123395815
2021-02-14,15311793.0,13376226.25769658
2021-02-15,13740968.0,15424502.498814853
2021-02-16,14647072.0,14985603.89340243
2021-02-17,21184826.0,15444578.061546454
2021-02-18,14700470.0,17829391.925796412
2021-02-19,13703201.0,11594347.728057995
2021-02-20,21531644.0,17680489.289406493
2021-02-21,21731728.0,21827932.377352685
2021-02-22,14110238.0,18840141.479878854
2021-02-23,19489112.0,18561822.66664054
2021-02-24,21338400.0,18625129.069598813
2021-02-25,20383868.0,15898323.591496453
2021-02-26,21158734.0,19737080.688536726
2021-02-27,21056496.0,21433127.55237198
2021-02-28,20906122.0,22499359.244057737
2021-03-01,19369550.0,22953821.2737241
2021-03-02,6120632.0,16587437.212120252
2021-03-03,21909238.0,15081382.38025819
2021-03-04,21912236.0,18328471.482428096
2021-03-05,20375208.0,21664641.33815976
2021-03-06,20476474.0,21000995.367079698
2021-03-07,16414019.0,17990747.369717944
2021-03-08,7906094.0,13524212.426649634
2021-03-09,14440399.0,11490888.348262146
2021-03-10,22021142.0,19236750.599082492
2021-03-11,22191310.0,21258252.006111484
2021-03-12,19045140.0,17440521.94818684
2021-03-13,17570200.0,19091857.342226192
2021-03-14,22869616.0,16614563.302344223
2021-03-15,20855426.0,20380841.522001423
2021-03-16,23079922.0,25256022.791116633
2021-03-17,24097110.0,24996785.356668487
2021-03-18,24289196.0,22876071.290787134
2021-03-19,24761252.0,15336285.896335434
2021-03-20,23060880.0,22858195.54430809
2021-03-21,23192806.0,30081039.17152248
2021-03-22,24554672.0,26312981.786974333
2021-03-23,25165164.0,25038300.70179461
2021-03-24,25354136.0,26465759.502787992
2021-03-25,25299734.0,26266766.48829043
2021-03-26,25203376.0,25874198.628891136
2021-03-27,25260526.0,25296827.00770011
2021-03-28,19230932.0,20681773.30457215
2021-03-29,13671296.0,16804186.76013258
2021-03-30,24609950.0,20858358.30605129
2021-03-31,23874332.0,24502347.42736745
2021-04-01,11550329.0,18325995.803177353
2021-04-02,7612969.5,14224971.52976443
2021-04-03,19614376.0,15331362.4281844
2021-04-04,20007164.0,18302768.47892815
2021-04-05,25777374.0,20779525.641926095
2021-04-06,25633898.0,19714330.251654968
2021-04-07,24549208.0,20887197.346051704
2021-04-08,25081288.0,23117299.364959847
2021-04-09,25594328.0,24182130.176923834
2021-04-10,24701444.0,26064064.433891773
2021-04-11,25849738.0,27237468.02364109
2021-04-12,25147998.0,27028841.493753444
2021-04-13,24951890.0,27820142.75152818
2021-04-14,25117868.0,26218577.303504255
2021-04-15,21899926.0,24032806.647528257
2021-04-16,25630206.0,23971736.81432519
2021-04-17,16155045.0,19137199.318627752
2021-04-18,8246789.5,17562860.201589018
2021-04-19,18151616.0,14200985.809579656
2021-04-20,22901014.0,19073794.757920355
2021-04-21,14915377.0,16531865.015778098
2021-04-22,20247016.0,17580362.662738923
2021-04-23,26079774.0,23659563.36977635
2021-04-24,25618180.0,21554601.489754297
2021-04-25,25997046.0,25492092.24554891
2021-04-26,25826668.0,24183909.755149458
2021-04-27,25050890.0,26448116.34743449
2021-04-28,26375292.0,26152274.15952686
2021-04-29,24807086.0,27435009.64282979
2021-04-30,14970558.0,23585013.57361797
2021-05-01,14449836.0,16447195.263717933
2021-05-02,25891668.0,20252958.2587246
