Fecha,srf,srf_holtwin_predicts
2021-10-06,22231666.0,15815170.570876494
2021-10-07,22610874.0,21773066.416992318
2021-10-08,23179682.0,21394577.87472592
2021-10-09,22513330.0,23926462.468129274
2021-10-10,22859642.0,22059892.11073856
2021-10-11,21357050.0,23157182.90580461
2021-10-12,21718190.0,22792916.500262562
2021-10-13,17997758.0,19276777.563089263
2021-10-14,17479472.0,19031582.63461386
2021-10-15,18339158.0,19455398.187366307
2021-10-16,14734945.0,16124170.719757792
2021-10-17,17773986.0,16507532.727038508
2021-10-18,21691580.0,15840703.086471604
2021-10-19,21550322.0,18813140.831279896
2021-10-20,20736950.0,23956886.41285604
2021-10-21,19112872.0,22314560.93228783
2021-10-22,18442018.0,19589674.354442216
2021-10-23,19852580.0,19360810.210676078
2021-10-24,18485918.0,19108092.872812744
2021-10-25,13147676.0,15907861.79730535
2021-10-26,19900376.0,17360787.36877103
2021-10-27,20587522.0,19724257.257250268
2021-10-28,17624710.0,18159771.710666772
2021-10-29,18945698.0,16170251.892864741
2021-10-30,20538714.0,20987284.38677886
2021-10-31,18515254.0,17371234.423826054
2021-11-01,18238400.0,18701653.24906927
2021-11-02,19473114.0,18065741.54364229
2021-11-03,19782314.0,21607349.97749658
2021-11-04,14760214.0,18934253.62554478
2021-11-05,15548030.0,15605167.323887467
2021-11-06,17575700.0,16780440.19739514
2021-11-07,18416142.0,16507291.676552895
2021-11-08,17056540.0,17890179.985073343
2021-11-09,17707894.0,17165176.47045142
2021-11-10,17409834.0,17842211.828690708
2021-11-11,18405282.0,17315215.306528203
2021-11-12,17478828.0,14736974.077456605
2021-11-13,11813861.0,14464477.77264831
2021-11-14,18333280.0,18740718.924957246
2021-11-15,18622332.0,14487950.969995942
2021-11-16,18757484.0,15587428.947471622
2021-11-17,18035600.0,15314640.998632172
2021-11-18,16180327.0,18046201.659790218
2021-11-19,12838680.0,17616913.45547372
2021-11-20,16906686.0,13841145.208400786
2021-11-21,17823110.0,12765397.09750749
2021-11-22,13193412.0,17454166.861430693
2021-11-23,12918215.0,19283122.308696188
2021-11-24,16505994.0,17451867.27463916
2021-11-25,12206677.0,13068036.720843075
2021-11-26,7605282.0,10299598.569480976
2021-11-27,15004105.0,14471223.838161804
2021-11-28,14207586.0,13183529.745815933
