Parcela,Fecha,dias,ndvi,gndvi,cire,ndre1,ndre,ndmi,msi,temp,dia_x,reconstruida_temp,ajustados_temp,srf,dia_y,reconstruida_srf,ajustados_srf,precip,precip_acum,et,dia,reconstruida_et,ajustados_et,et_acum,et_acum_ajustados,rh12,rh12_holtwin_predicts,kc,etc,etc_acum
1,2021-04-21,146.0,0.5254155682,0.4990523993,1.1760584973,0.2841578567,0.3486159793999999,0.0169167972,1.0169862786,298.7346,477,298.3739258543882,300.525234052265,14915377.0,477,19082990.57007377,22056504.050445743,0.52,59.830000000000005,4.120407,477,5.110489371696315,5.5368496185647285,578.9107073000001,558.9734772191529,42.268047,42.29440285694586,0.77422790343,3.1901340728882963,361.1045514581343
1,2021-04-22,147.0,0.5270189336,0.4998609523,1.1812268911,0.2853180691,0.3497598070999999,0.0182939052,1.0139755414,299.7811,478,299.8069844011796,300.60878416514896,20247016.0,478,21118587.98961785,22143525.94622445,0.33,60.16,5.5047975,478,5.697665813195576,5.560586874533128,584.4155048000001,564.534064093686,45.87938,44.74999804263516,0.7760717736399999,4.272117959354037,365.37666941748836
1,2021-04-23,148.0,0.5286107816000001,0.5006635597,1.1863524227,0.2864691911,0.3508949211999999,0.019662532,1.0109829632,303.35663,479,301.451585746675,300.6918989901015,26079774.0,479,23251280.842431463,22229843.49785462,0.41,60.57,7.219696,479,6.307249389988884,5.584035179157628,591.6352008000001,570.1180992728436,38.131382,43.43728418047017,0.7779023988400001,5.616218837295554,370.9928882547839
1,2021-04-24,149.0,0.5301911122,0.5014602215,1.1914350921,0.2876112227,0.3520213216999999,0.0210226775999999,1.008008544,303.8876,480,302.97316098012874,300.7745535973291,25618180.0,480,25030083.67736888,22315430.56401573,0.0,60.57,7.2000675,480,6.810741693591051,5.607187497153827,598.8352683000002,575.7252867699974,32.898804,37.14571447130778,0.77971977903,5.614035040101085,376.606923294885
1,2021-04-25,150.0,0.5317599254,0.5022509377,1.1964748993,0.2887441639,0.3531390085999999,0.022374342,1.0050522838,302.84976,481,304.0724902367566,300.856723195078,25997046.0,481,26081354.689650293,22400261.22461526,0.0,60.57,6.7508245,481,7.105999897003097,5.630036882043326,605.5860928000002,581.3553236520407,19.208117,33.55588907994371,0.78152391421,5.275930787384766,381.8828540822698
1,2021-04-26,151.0,0.5333172212,0.5030357083,1.2014718443,0.2898680147,0.3542479818999999,0.0237175252,1.0021141826,302.6795,482,304.5623227477877,300.9383831370699,25826668.0,482,26212082.6859754,22484309.78863851,0.05,60.62,6.914268,482,7.146045786447021,5.652576478237901,612.5003608000002,587.0079001302786,40.270626,35.163562891046105,0.78331480438,5.416048485850894,387.29890256812064
1,2021-04-27,152.0,0.5348629996,0.5038145332999999,1.2064259271,0.2909827751,0.3553482415999999,0.0250522272,0.9991942404,303.55334,483,304.4153912473564,301.0195089298948,25050890.0,483,25468109.748920925,22567550.80192921,0.5,61.12,6.7225466,483,6.953188290021057,5.674799523096413,619.2229074000002,592.682699653375,40.446217,36.01742751892379,0.78509244954,5.2778205773407985,392.5767231454614
1,2021-04-28,153.0,0.5363972606,0.5045874127000001,1.2113371477,0.2920884451,0.3564397876999999,0.026378448,0.9962924572,304.6707,484,303.76851402018394,301.1000762403576,26375292.0,484,24126152.191426013,22649959.054898266,0.03,61.15,7.204476,484,6.613090366377379,5.696699348953833,626.4273834000002,598.3793990023289,40.55154,35.11375215791873,0.78685684969,5.668891289027212,398.24561443448863
1,2021-04-29,154.0,0.5379200042000001,0.5053543465,1.2162055061,0.2931850247,0.3575226202,0.0276961876,0.993408833,304.44885,485,302.88022269128174,301.18006090277646,24807086.0,485,22617920.84355285,22731509.59015856,0.04,61.19,7.0700865,485,6.249530837233503,5.718269385121755,633.4974699000002,604.0976683874507,39.27594,33.30857688137935,0.78860800483,5.575526808740518,403.82114124322914
1,2021-04-30,155.0,0.5394312304,0.5061153347,1.2210310023,0.2942725139,0.3585967390999999,0.0290054459999999,0.9905433678,302.37363,486,302.0535186711543,301.2594389262316,14970558.0,486,21406020.30256046,22812177.71008327,0.09,61.28,5.0248857,486,5.986873173105249,5.739503159859842,638.5223556000002,609.8371715473105,33.780552,37.40115444143548,0.79034591496,3.9713978861359194,407.7925391293651
1,2021-05-01,156.0,0.5409309392,0.5068703773000001,1.2258136363,0.2953509127,0.3596621443999999,0.0303062232,0.9876960616,299.70795,487,301.5464130816991,301.3381865017607,14449836.0,487,20847615.29594445,22891938.98428556,4.33,65.61,3.7241447,487,5.911552067793164,5.760394302317555,642.2465003000002,615.597565849628,59.996895,41.91606275845742,0.79207058008,2.9497854528308576,410.7423245821959
1,2021-05-02,157.0,0.5424191306000001,0.5076194743,1.2305534081000002,0.2964202211,0.3607188360999999,0.0315985192,0.9848669144,304.2281,488,301.49715081679085,301.4162800095005,25891668.0,488,21087388.21788683,22970769.257017344,0.45,66.06,6.7385345,488,6.044683274415046,5.780936544445626,648.9850348000002,621.3785023940736,35.770645,49.44953567815414,0.7937820001900001,5.348927393759323,416.09125197595523
1,2021-05-03,158.0,0.5438958046,0.5083626257,1.2352503177,0.2974804391,0.3617668141999999,0.032882334,0.9820559262,297.09607,489,301.8868710046729,301.4936960257718,28346570.0,489,22013701.44650708,23048644.654484898,0.0,66.06,7.8754954,489,6.334769821254822,5.801123722876686,656.8605302000002,627.1796261169503,19.463018,38.7526937087862,0.7954801752899999,6.264800461287588,422.3560524372428
1,2021-05-04,159.0,0.5453609612000001,0.5090998314999999,1.2399043651,0.2985315667,0.3628060786999999,0.0341576676,0.979263097,306.69357,490,302.5510289836584,301.5704113301045,27386682.0,490,23293041.87086541,23125541.592078988,0.0,66.06,8.509129,490,6.673304229536456,5.820949780774485,665.3696592000002,633.0005758977248,18.5516,28.022618170685853,0.7971651053800001,6.783180715977014,429.13923315321983
1,2021-05-05,160.0,0.5468146004,0.5098310917,1.2445155502999998,0.2995736039,0.3638366295999999,0.03542452,0.9764884268,303.48138,491,303.2357261047879,301.64640291220303,20667908.0,491,24473508.69719765,23201436.78151754,0.65,66.71000000000001,6.1285353,491,6.928791450514198,5.840408769651143,671.4981945000002,638.840984667376,38.869225,28.89331265169008,0.79883679046,4.895699469272813,434.03493262249265
1,2021-05-06,161.0,0.5482567222,0.5105564063,1.2490838732999998,0.3006065507,0.3648584668999999,0.0366828912,0.9737319156,302.96945,492,303.6809937399398,301.721647978848,22158464.0,492,25126082.78111929,23276307.237898488,1.83,68.54,5.855826,492,6.988709834116959,5.859494851151903,677.3540205000002,644.7004795185279,40.86284,34.172519746728625,0.8004952305299999,4.687560783813567,438.7224934063062
