Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Evapotranspiration,Kc,ETc,Dia,ndmi_mean_pred_1,ndmi_mean_pred_2,ndmi_mean_pred_3,ndmi_mean_pred_4,ndmi_mean_pred_5,ndmi_mean_pred_6,ndmi_mean_pred_7,ndmi_mean_pred_8,ndmi_mean_pred_9
27,2022-08-04,11,0.7395415571976345,0.5451895043731778,0.806949806949807,0.3111356733737317,0.047785362755993,0.4077055779183439,0.5287234844584431,0.4207516339869281,0.9087878787878788,0.6375492265593375,0.5128564749883123,0.7085828343313373,3.002773173829509,1.802350892468437,3.553213192791567,6.0495334,1.0204727907772797,6.173384231598364,170,0.17895621400060058,0.3074170065311404,0.30682360662534724,0.3115876038026683,0.3112806274092187,0.301851548012273,0.3193794716650018,0.3195748590346887,0.3331738819526935
28,2022-08-09,11,0.79857350003104,0.5691868758915835,0.8630579680872551,0.3391331008302689,0.0276101663923934,0.4420861127956337,0.497101879301674,0.3868797308662742,0.9462633451957296,0.6857329444747313,0.5243128964059197,0.7580325267750893,2.433650899645271,1.3716996699669968,2.825963718820862,5.821786,1.088359525035696,6.3361962458194645,175,0.18637090063199574,0.3144782165767847,0.3134784440760653,0.3183161652809481,0.3170222104612308,0.30588917864041854,0.3185802997641787,0.32532274356196783,0.33815168201060164
30,2022-08-24,11,0.767113854372252,0.4968767745599091,0.8275095940214098,0.3341625223828102,-0.0218923933209647,0.4185362834596936,0.5025832321418654,0.4099040139616056,1.044764795144158,0.6613459831810427,0.5002845759817871,0.7158899494665918,2.91054291254966,1.4613066920393276,3.4478252753406755,5.9032273,1.0521809325280898,6.211263205439278,190,0.20861496052618123,0.33218940971871863,0.3299829876489495,0.3345829572186016,0.33033411499471294,0.3174308019589205,0.31289698311985603,0.33582189760308684,0.34145218831513624
32,2022-09-13,11,0.7897501669061433,0.4815267175572519,0.838655462184874,0.3393646887230893,-0.0344278606965174,0.4230894308943089,0.4963896182833365,0.4053930530164534,1.0713107996702391,0.6699458902332446,0.4929230769230769,0.7161447742984953,2.794338967745591,1.2827395477468684,3.238285506719942,4.602117,1.0782126919420647,4.962060959202339,210,0.23827370705176187,0.3477019809196322,0.3440198908383779,0.3472655473509985,0.3397625562808494,0.3329236068143544,0.30802718437706744,0.33738523810418203,0.32641379377009727
33,2022-09-23,11,0.7829334575673438,0.4889589905362776,0.8277554663096832,0.3274053171377053,-0.0416243654822335,0.4036974789915966,0.5097379819966291,0.4248084291187739,1.0868644067796611,0.6598571204107111,0.480552070263488,0.7007481296758105,2.9237355668595897,1.4644746787603928,3.3761026463512427,4.214055,1.0703734762024453,4.510612699258296,220,0.25310308031455225,0.35198582952508994,0.34767318409021153,0.3498477543919585,0.34131126800907197,0.34056836452862527,0.3104277419505195,0.3348974794949288,0.31611901624448535
35,2022-10-13,11,0.7984741948313764,0.5765009683666882,0.8541387024608501,0.3338494158649389,0.0213299874529485,0.4193768091265111,0.5015665369461316,0.4090690978886756,0.9582309582309584,0.6878445430207762,0.5684007707129094,0.7400574005740057,2.6642147332576225,1.6242269916333214,3.100535975312652,4.4506645,1.0882453240560828,4.8434148310674034,240,0.2827618268401329,0.35360865274600667,0.3483609955979856,0.3478176442951404,0.338916635197839,0.353042850799028,0.3267547657853811,0.32793392462907683,0.30351897606887235
38,2022-11-27,11,0.759978017520015,0.5503135264257988,0.8139759036144578,0.3060617784987919,0.0114942528735632,0.3699260476581758,0.5337320899033791,0.4599328214971209,0.9772727272727272,0.6508703551496764,0.52228875582169,0.7066290550070522,1.9850141403295063,1.2106436333240458,2.3641692879611096,2.9512036,1.0439747201480172,3.0809819524098208,285,0.34949400652268936,0.3234037442918269,0.3184576919926665,0.3116077101904207,0.31098154893003604,0.3342198859680039,0.3522125591941858,0.31241155531322934,0.3330489213632859
39,2022-12-22,11,0.735036114300196,0.5487571701720841,0.7847053093034584,0.28727786652832,-0.0008223684210526,0.3591495823842065,0.5563535828639776,0.4715083798882681,1.001646090534979,0.6191578691204196,0.5084541062801933,0.6615661566156615,2.309545140073865,1.479847908745247,2.8301219727770905,2.6765351,1.015291531445225,2.7174634206458994,310,0.38656743967966517,0.2863673571242315,0.2836135739055685,0.27582764093037376,0.28244171187322387,0.27762598628054036,0.27984922379266663,0.2845600468486016,0.2883774916815014
40,2022-12-27,11,0.7206306514318315,0.5168707076739325,0.7786464695822135,0.2751628050645885,0.012965964343598,0.3465753424657534,0.5712011168079326,0.4852492370295015,0.9744,0.6197304824874174,0.5109756097560976,0.6747130985358132,1.7494869374711493,1.0764925373134329,2.0683404940923737,2.6593611,0.9987252491466062,2.6559710771682927,315,0.39398212631106033,0.2772238611932128,0.27512390656701835,0.2676170450447864,0.2754105122313715,0.2628508019124496,0.2549447061932142,0.27495394057140843,0.2631239299662411
42,2023-01-16,11,0.6568566707018528,0.4994011976047904,0.7534084173088322,0.1975516811846048,-0.0407751312071053,0.2767706970659689,0.6727316424737847,0.5664519906323185,1.085016835016835,0.5934517275645441,0.4754098360655737,0.66031094162511,1.4955440867936656,0.984938330170778,2.135633014267654,3.1169145,0.9253851713071308,2.88434645853218,335,0.423640872836641,0.23486248247747277,0.236188709550607,0.2320206854732977,0.2417172561550549,0.20176802311875974,0.14081171053976504,0.222832724802379,0.11330692371359419
44,2023-02-05,11,0.6294521053244168,0.4642740619902121,0.6974789915966386,0.1811765481848,-0.0034658511722731,0.2618822192766522,0.6954676078205112,0.5849339735894358,1.0069558101472995,0.5658931690939767,0.4767371601208459,0.6072874493927125,1.535504910954232,0.9638309401246274,1.880220869318986,3.3240013,0.8938699211230793,2.971224779844013,355,0.4532996193622217,0.18324127177506813,0.1894249183025014,0.19324293908587317,0.19653542290566506,0.16612238611570262,0.09641479982474266,0.17081994148718158,0.03187700883427169
45,2023-02-15,11,0.5725899601526724,0.4525977504017139,0.6255936015996001,0.1677863568808344,0.0096101541251133,0.2397704128865025,0.7143497125681266,0.6132019115890084,0.9809626436781608,0.5090069571758883,0.4387267904509284,0.553223388305847,1.6802132789107915,1.1710323574730357,2.125716332378224,4.4592023,0.8284784541755732,3.694353028360161,365,0.468128992625012,0.15395822942886672,0.1631630706864966,0.17321358808903892,0.16822390959565237,0.17622930597701725,0.17118265128192434,0.16792585695579965,0.16853869910664798
