Fecha,rh12,dia,reconstruida_rh12,ajustados_rh12
2021-07-12,51.844364,559,59.54689048066143,51.37231590214274
2021-07-13,57.42671,560,56.76478402488011,51.45312843479206
2021-07-14,52.894917,561,54.28699903431392,51.533568454451064
2021-07-15,51.791187,562,52.500625949832944,51.61361321767731
2021-07-16,54.66558,563,51.643461334314786,51.69324009278232
2021-07-17,55.184853,564,51.731433700830465,51.77242656623043
2021-07-18,52.373096,565,52.542682333367935,51.851150249004206
2021-07-19,54.435986,566,53.67117049941058,51.9293888829347
2021-07-20,54.082012,567,54.640317561175316,52.007120346994654
2021-07-21,51.96709,568,55.045268894407066,52.084322663552925
2021-07-22,61.042416,569,54.6793897600504,52.16097400458847
2021-07-23,50.46006,570,53.602136056645904,52.23705269786187
2021-07-24,45.043022,571,52.12240259928684,52.31253723304295
2021-07-25,49.843506,572,50.69886973718853,52.38740626779257
2021-07-26,54.631985,573,49.787591169115395,52.461638633796845
2021-07-27,50.23292,574,49.68680123624145,52.53521334275231
2021-07-28,49.76746,575,50.43202523178552,52.60810959230006
2021-07-29,57.19332,576,51.77904337722848,52.6803067719074
2021-07-30,54.81419,577,53.282765972831704,52.751784468695156
2021-07-31,53.454662,578,54.44660633141989,52.822522473209276
2021-08-01,48.543587,579,54.891363788123236,52.89250078513472
2021-08-02,50.918797,580,54.484451718205506,52.961699618950334
2021-08-03,54.44592,581,53.38307870813945,53.03009940952299
2021-08-04,54.64561,582,51.97479191448343,53.09768081763934
2021-08-05,52.61571,583,50.73537753399684,53.164424735473816
2021-08-06,49.919037,584,50.05443745005528,53.23031229199104
2021-08-07,51.177208,585,50.091837029114,53.2953248582815
2021-08-08,51.52889,586,50.71845907436949,53.359444052828536
2021-08-09,51.204975,587,51.56519246563643,53.42265174670556
2021-08-10,52.789513,588,52.16499022537081,53.48493006870179
2021-08-11,49.145428,589,52.13809646237681,53.546261410375074
2021-08-12,49.641838,590,51.35293373750392,53.60662843103049
2021-08-13,48.83597,591,50.00158018556681,53.666014062623226
2021-08-14,51.087696,592,48.55764431213368,53.72440151458437
2021-08-15,46.088413,593,47.62588927628509,53.7817742785682
2021-08-16,50.91577,594,47.73254618726887,53.83811613311977
2021-08-17,51.085815,595,49.128580114151696,53.89341114826127
2021-08-18,54.89316,596,51.67640631949121,53.947643689996106
2021-08-19,51.914227,597,54.86365367933016,54.00079842472917
2021-08-20,45.657185,598,57.944481937059535,54.05286032360223
2021-08-21,65.92954,599,60.16458780339791,54.103814666743204
2021-08-22,71.77447,600,60.99603172116449,54.15364704742799
2021-08-23,55.061745,601,60.30319801127413,54.20234337615376
2021-08-24,51.4068,602,58.383620752876894,54.24988988462268
2021-08-25,59.586014,603,55.86951683355539,54.29627312963466
2021-08-26,55.692913,604,53.523095759674305,54.341479996888296
2021-08-27,51.053654,605,51.99459062468192,54.38549770468874
2021-08-28,49.12438,606,51.62394289840999,54.42831380756161
2021-08-29,59.01799,607,52.35105264949172,54.46991619977178
2021-08-30,53.454597,608,53.76124775416317,54.51029311874614
2021-08-31,50.738247,609,55.24574475577178,54.54943314839929
2021-09-01,56.4685,610,56.217957657875374,54.587325222361336
2021-09-02,51.22265,611,56.30917956356047,54.62395862710676
2021-09-03,61.16396,612,55.477199072681245,54.65932300498354
2021-09-04,55.894836,613,53.99472773102201,54.69340835714164
2021-09-05,50.029503,614,52.32868011788183,54.726205046360086
2021-09-06,48.161972,615,50.96016344486944,54.75770379977175
2021-09-07,52.660927,616,50.21445009193014,54.78789571148514
2021-09-08,56.00078,617,50.16345832347748,54.816772245102484
2021-09-09,49.165173,618,50.63332434942944,54.84432523613322
2021-09-10,43.80784,619,51.30808906633783,54.87054689430245
2021-09-11,57.189217,620,51.883211303406874,54.895429805753544
2021-09-12,49.97432,621,52.20378876375348,54.9189669351443
2021-09-13,51.793827,622,52.32926667113517,54.94115162763612
2021-09-14,47.613243,623,52.49651957287905,54.96197761077558
2021-09-15,53.267708,624,52.99504957454535,54.981438996267876
2021-09-16,65.41059,625,54.00547185932464,54.999530281641704
2021-09-17,57.375374,626,55.470597212159845,55.01624635180497
2021-09-18,57.119987,627,57.0594165259533,55.03158248049107
2021-09-19,47.470585,628,58.25047475953328,55.04553433159512
2021-09-20,54.751236,629,58.51445186603185,55.058097960400026
2021-09-21,59.938206,630,57.53365557784788,55.069269814691715
2021-09-22,66.20652,631,55.37508596177035,55.079046735763534
2021-09-23,40.494675,632,52.54313640697846,55.08742595930933
2021-09-24,52.676437,633,49.876297286838884,55.09440511620501
2021-09-25,53.320763,634,48.3070289601816,55.099982233178395
2021-09-26,54.576897,635,48.55610345777919,55.10415573336712
2021-09-27,45.703712,636,50.862947921194966,55.10692443676451
2021-09-28,52.02855,637,54.84954371723521,55.10828756055315
2021-09-29,55.66104,638,59.57659224233108,55.1082447193263
2021-09-30,64.358635,639,63.788696253034004,55.10679592519679
2021-10-01,61.659927,640,66.28069779411797,55.103941587793635
2021-10-02,79.63123,641,66.27237382487655,55.0996825141462
2021-10-03,60.60546,642,63.66980932599502,55.09401990845605
2021-10-04,60.40618,643,59.12349346164306,55.086955371756424
2021-10-05,51.25956,644,53.856271420621304,55.078490901459624
2021-10-06,42.966503,645,49.30848426232977,55.068628890792226
2021-10-07,50.782032,646,46.708354836892184,55.05737212811844
2021-10-08,49.67423,647,46.70230622289981,55.044723796151736
2021-10-09,47.919327,648,49.16286674129386,55.03068747105497
2021-10-10,55.168297,649,53.236048730889856,55.015267121429254
2021-10-11,57.20065,650,57.613540284649176,54.99846710719191
2021-10-12,54.149113,651,60.9427943297676,54.98029217834372
2021-10-13,62.03317,652,62.24396261553765,54.96074747362594
2021-10-14,62.9894,653,61.20118053918073,54.93983851906742
2021-10-15,64.67252,654,58.23738633645459,54.91757122642209
2021-10-16,63.737946,655,54.352783107347804,54.893951891497586
