Fecha,Temperature,Dia,Reconstruida,Ajustados
2023-01-26,289.04385,1122,292.39221966671914,294.0805723896882
2023-01-27,289.74063,1123,292.6361849225279,294.1056469476115
2023-01-28,294.63498,1124,293.02738649140065,294.1321490214363
2023-01-29,296.86545,1125,293.340258855514,294.1600708985523
2023-01-30,296.72382,1126,293.3891241181382,294.18940445315945
2023-01-31,294.63565,1127,293.09603243140924,294.22014114863237
2023-02-01,288.64252,1128,292.51947762615606,294.252272040005
2023-02-02,289.55023,1129,291.8342419544292,294.28578777657344
2023-02-03,288.77435,1130,291.26976468766435,294.3206786046176
2023-02-04,289.63254,1131,291.02887907908485,294.3569343702393
2023-02-05,292.4272,1132,291.21550528476735,294.39454452231746
2023-02-06,294.0018,1133,291.79662227753755,294.4334981155787
2023-02-07,296.26218,1134,292.6117728170976,294.4737838137824
2023-02-08,295.7481,1135,293.42674994719454,294.5153898930202
2023-02-09,294.8295,1136,294.0127934044588,294.5583042451273
2023-02-10,291.22684,1137,294.223919455746,294.60251438120684
2023-02-11,289.04837,1138,294.0458928051449,294.6480074352637
2023-02-12,289.40115,1139,293.60041930122475,294.69477016794923
2023-02-13,292.78156,1140,293.10377735127287,294.74278897041415
2023-02-14,297.50436,1141,292.79478447050417,294.79204986826863
2023-02-15,298.7451,1142,292.85723145838807,294.84253852564956
2023-02-16,297.11057,1143,293.36320714242066,294.89424024939206
2023-02-17,290.7331,1144,294.2557745546763,294.947139993306
2023-02-18,290.54242,1145,295.3752117416326,295.00122236255436
2023-02-19,295.10284,1146,296.5176540344008,295.05647161813346
2023-02-20,297.53476,1147,297.50396150348877,295.11287168145356
2023-02-21,297.38303,1148,298.2338497896919,295.17040613901776
2023-02-22,301.1065,1149,298.7066300858737,295.2290582471987
2023-02-23,301.24734,1150,299.0028797271408,295.28881093711135
2023-02-24,299.28995,1151,299.23618281108315,295.34964681958047
2023-02-25,298.19983,1152,299.49526589078295,295.4115481902009
2023-02-26,299.5319,1153,299.8002703508985,295.4744970344901
2023-02-27,300.16714,1154,300.091260645953,295.5384750331308
2023-02-28,300.51038,1155,300.25440999611277,295.6034635673019
2023-03-01,301.02512,1156,300.17629433579384,295.66944372409733
2023-03-02,299.33963,1157,299.8049710605771,295.73639630202985
2023-03-03,297.9271,1158,299.19254533854684,295.80430181661893
2023-03-04,296.38342,1159,298.49950034987245,295.8731405060615
2023-03-05,297.89566,1160,297.9544936668696,295.9428923369824
2023-03-06,299.96432,1161,297.7799701710676,296.0135370102652
2023-03-07,300.3171,1162,298.1078385597964,296.08505396695915
2023-03-08,299.73196,1163,298.91539235318,296.15742239426226
2023-03-09,299.76144,1164,300.00706340493264,296.2306212315784
2023-03-10,299.81152,1165,301.0535528808772,296.30462917664624
2023-03-11,299.93274,1166,301.6808447360387,296.3794246917385
2023-03-12,302.01147,1167,301.5839474019734,296.4549860099302
2023-03-13,299.36703,1168,300.63007598846497,296.53129114143286
2023-03-14,295.87537,1169,298.91716744885935,296.6083178799941
2023-03-15,297.55966,1170,296.7661841946487,296.68604380936006
2023-03-16,300.70798,1171,294.64584177602796,296.76444630979915
2023-03-17,296.9136,1172,293.0497770326924,296.84350256468446
2023-03-18,292.1401,1173,292.361786840244,296.92318956713416
2023-03-19,286.40894,1174,292.7494086886377,297.0034841267068
